data_provider,product_category,repair_status,total
Fixit Clinic,Unpowered - Bicycle,End of life,2
Fixit Clinic,Unpowered - Bicycle,Fixed,17
Fixit Clinic,Unpowered - Bicycle,Repairable,11
Fixit Clinic,Unpowered - Bicycle,Unknown,4
Fixit Clinic,Unpowered - Furniture,End of life,1
Fixit Clinic,Unpowered - Furniture,Fixed,18
Fixit Clinic,Unpowered - Furniture,Repairable,14
Fixit Clinic,Unpowered - Furniture,Unknown,7
Fixit Clinic,Unpowered - Household,End of life,5
Fixit Clinic,Unpowered - Household,Fixed,54
Fixit Clinic,Unpowered - Household,Repairable,24
Fixit Clinic,Unpowered - Household,Unknown,18
Fixit Clinic,Unpowered - Jewellery,Fixed,29
Fixit Clinic,Unpowered - Jewellery,Repairable,6
Fixit Clinic,Unpowered - Jewellery,Unknown,5
Fixit Clinic,Unpowered - Other,End of life,2
Fixit Clinic,Unpowered - Other,Fixed,1
Fixit Clinic,Unpowered - Other,Repairable,4
Fixit Clinic,Unpowered - Other,Unknown,2
Fixit Clinic,Unpowered - Textile,End of life,2
Fixit Clinic,Unpowered - Textile,Fixed,59
Fixit Clinic,Unpowered - Textile,Repairable,23
Fixit Clinic,Unpowered - Textile,Unknown,8
Repair Cafe Wales,Unpowered - Bicycle,End of life,29
Repair Cafe Wales,Unpowered - Bicycle,Fixed,1323
Repair Cafe Wales,Unpowered - Bicycle,Repairable,293
Repair Cafe Wales,Unpowered - Bicycle,Unknown,52
Repair Cafe Wales,Unpowered - Furniture,End of life,68
Repair Cafe Wales,Unpowered - Furniture,Fixed,1124
Repair Cafe Wales,Unpowered - Furniture,Repairable,270
Repair Cafe Wales,Unpowered - Furniture,Unknown,64
Repair Cafe Wales,Unpowered - Household,End of life,107
Repair Cafe Wales,Unpowered - Household,Fixed,1717
Repair Cafe Wales,Unpowered - Household,Repairable,160
Repair Cafe Wales,Unpowered - Household,Unknown,77
Repair Cafe Wales,Unpowered - Jewellery,End of life,68
Repair Cafe Wales,Unpowered - Jewellery,Fixed,1079
Repair Cafe Wales,Unpowered - Jewellery,Repairable,174
Repair Cafe Wales,Unpowered - Jewellery,Unknown,63
Repair Cafe Wales,Unpowered - Other,End of life,377
Repair Cafe Wales,Unpowered - Other,Fixed,2815
Repair Cafe Wales,Unpowered - Other,Repairable,639
Repair Cafe Wales,Unpowered - Other,Unknown,236
Repair Cafe Wales,Unpowered - Textile,End of life,132
Repair Cafe Wales,Unpowered - Textile,Fixed,5601
Repair Cafe Wales,Unpowered - Textile,Repairable,548
Repair Cafe Wales,Unpowered - Textile,Unknown,191
Repair Café Denmark,Unpowered - Bicycle,End of life,73
Repair Café Denmark,Unpowered - Bicycle,Fixed,844
Repair Café Denmark,Unpowered - Bicycle,Unknown,16
Repair Café Denmark,Unpowered - Furniture,End of life,89
Repair Café Denmark,Unpowered - Furniture,Fixed,609
Repair Café Denmark,Unpowered - Furniture,Unknown,20
Repair Café Denmark,Unpowered - Household,End of life,470
Repair Café Denmark,Unpowered - Household,Fixed,2366
Repair Café Denmark,Unpowered - Household,Unknown,64
Repair Café Denmark,Unpowered - Jewellery,End of life,28
Repair Café Denmark,Unpowered - Jewellery,Fixed,257
Repair Café Denmark,Unpowered - Jewellery,Unknown,7
Repair Café Denmark,Unpowered - Other,End of life,227
Repair Café Denmark,Unpowered - Other,Fixed,1076
Repair Café Denmark,Unpowered - Other,Unknown,53
Repair Café Denmark,Unpowered - Textile,End of life,103
Repair Café Denmark,Unpowered - Textile,Fixed,1125
Repair Café Denmark,Unpowered - Textile,Unknown,67
Repair Café International,Unpowered - Bicycle,End of life,350
Repair Café International,Unpowered - Bicycle,Fixed,4039
Repair Café International,Unpowered - Bicycle,Repairable,416
Repair Café International,Unpowered - Furniture,End of life,182
Repair Café International,Unpowered - Furniture,Fixed,1420
Repair Café International,Unpowered - Furniture,Repairable,307
Repair Café International,Unpowered - Household,End of life,1396
Repair Café International,Unpowered - Household,Fixed,9886
Repair Café International,Unpowered - Household,Repairable,1028
Repair Café International,Unpowered - Household,Unknown,1
Repair Café International,Unpowered - Jewellery,End of life,220
Repair Café International,Unpowered - Jewellery,Fixed,1984
Repair Café International,Unpowered - Jewellery,Repairable,190
Repair Café International,Unpowered - Other,End of life,272
Repair Café International,Unpowered - Other,Fixed,970
Repair Café International,Unpowered - Other,Repairable,184
Repair Café International,Unpowered - Textile,End of life,796
Repair Café International,Unpowered - Textile,Fixed,18316
