id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem,
fixitclinic_1,Fixit Clinic,USA,English,Misc,Garmin,Unknown,????,Repairable,Fixit Clinic,2019-01-10,,
fixitclinic_2,Fixit Clinic,USA,English,Tablet,Apple,iPad,????,Fixed,Fixit Clinic,2019-01-10,needed new battery,
fixitclinic_3,Fixit Clinic,USA,English,Small kitchen item,Preethi,Chefpro Plus,2012,Repairable,Fixit Clinic,2019-01-12,Not turning on,
fixitclinic_4,Fixit Clinic,USA,English,Tablet,Nexus,nexus 7 ,2013,Repairable,Fixit Clinic,2019-01-12,not turning on ,
fixitclinic_5,Fixit Clinic,USA,English,Misc,Trek,7.2 FX,2009,Repairable,Fixit Clinic,2019-01-12,"seatpost reflector broken, front axel, brakes, broken bell ",
fixitclinic_6,Fixit Clinic,USA,English,Misc,Lasko ,754200,2015,Repairable,Fixit Clinic,2019-01-12,Fan is broken ,
fixitclinic_7,Fixit Clinic,USA,English,Laptop medium,Dell ,dell inspiron,2015,Repairable,Fixit Clinic,2019-01-12,Hinge is broken ,
fixitclinic_8,Fixit Clinic,USA,English,Tablet,Nexus,7,????,End of life,Fixit Clinic,2019-01-12,,
fixitclinic_9,Fixit Clinic,USA,English,Small kitchen item,preethi ,preethi chef ,????,End of life,Fixit Clinic,2019-01-12,,
fixitclinic_10,Fixit Clinic,USA,English,Misc,schwinn,sidewinder 2.6 fs,2017,Repairable,Fixit Clinic,2019-01-12,brakes are too tight,
fixitclinic_11,Fixit Clinic,USA,English,Laptop medium,Dell,Inspiron,????,Repairable,Fixit Clinic,2019-01-12,,
fixitclinic_12,Fixit Clinic,USA,English,Digital Compact Camera,Lumix (pasonic),6x optical ,????,Repairable,Fixit Clinic,2019-01-12,clean the battery cage ,
fixitclinic_13,Fixit Clinic,USA,English,Misc,Colber ,Unknown,2009,Repairable,Fixit Clinic,2019-01-12,Clamp not working ,
fixitclinic_14,Fixit Clinic,USA,English,Misc,colber ,Unknown,????,Fixed,Fixit Clinic,2019-01-12,,
fixitclinic_15,Fixit Clinic,USA,English,Misc,Shwin,Roadmaster 2.6 fs,????,Fixed,Fixit Clinic,2019-01-12,,
fixitclinic_16,Fixit Clinic,USA,English,Desktop computer,Toshiba ,satalite ,2012,Repairable,Fixit Clinic,2019-01-12,slow prosessing and not connecting to internet ,
fixitclinic_17,Fixit Clinic,USA,English,Digital Compact Camera,Canon,powershot ST100,2014,Repairable,Fixit Clinic,2019-01-12,Lens does not open ,
fixitclinic_18,Fixit Clinic,USA,English,Toy,trankr,Unknown,2012,Repairable,Fixit Clinic,2019-01-12,not sure ,
fixitclinic_19,Fixit Clinic,USA,English,Digital Compact Camera,canon,Unknown,????,Repairable,Fixit Clinic,2019-01-12,,
fixitclinic_20,Fixit Clinic,USA,English,Laptop medium,toshiba,Unknown,????,Fixed,Fixit Clinic,2019-01-12,,
fixitclinic_21,Fixit Clinic,USA,English,Toy,Unknown,Unknown,????,Fixed,Fixit Clinic,2019-01-12,,
fixitclinic_22,Fixit Clinic,USA,English,Misc,trek 7.2 fx,Unknown,????,Fixed,Fixit Clinic,2019-01-12,,
fixitclinic_23,Fixit Clinic,USA,English,Misc,Aerobed,"511 Schaumburg, IL",2012,Repairable,Fixit Clinic,2019-01-26,Leaking alot of air and could not be used,
fixitclinic_24,Fixit Clinic,USA,English,Misc,Local glass earrings,Old ,2009,Fixed,Fixit Clinic,2019-01-29,Back came off ,
