id,data_provider,country,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
fixitclinic_1,"Fixit Clinic",USA,"Small home electrical",Sunbeam,Gcsbbv-201,2016,Unknown,"Fixit Clinic",2018-01-02,"Iron ~ Steam selector switch broken, tip of soleplate broken"
fixitclinic_2,"Fixit Clinic",USA,"Small home electrical",Sunbeam,Gcsbbv-201,2016,Unknown,"Fixit Clinic",2018-01-02,Iron
fixitclinic_3,"Fixit Clinic",USA,"Decorative or safety lights",GE,"7 ft Pre-lit Just cut medium frasier fir",????,Unknown,"Fixit Clinic",2018-01-13,"Artificial christmas tree lights"
fixitclinic_4,"Fixit Clinic",USA,Fan,Holmes,"HOA - 1200",????,Unknown,"Fixit Clinic",2018-01-14,"12"" Table Fan"
fixitclinic_5,"Fixit Clinic",USA,Vacuum,"Hoover ",U505-930,????,Unknown,"Fixit Clinic",2018-01-14,"upright vacuum "
fixitclinic_6,"Fixit Clinic",USA,"Hi-Fi separates",Curtis,RCD670,????,Unknown,"Fixit Clinic",2018-01-14,"CD player"
fixitclinic_7,"Fixit Clinic",USA,Fan,Aries,Unknown,????,Unknown,"Fixit Clinic",2018-01-14,Fan
fixitclinic_8,"Fixit Clinic",USA,"Small kitchen item","kitchen aid",KSB5MC4,2008,Unknown,"Fixit Clinic",2018-01-14,"blender ~ A part required replacing. The directions supplied with the new part(s) made replacement procedure unclear."
fixitclinic_9,"Fixit Clinic",USA,"Portable radio",SONY,ICF-SW30,????,Repairable,"Fixit Clinic",2018-01-19,"SSW Radio /Dual Conversion12 Bands/Dual Clock/FM Stereo/SW/MW/PLL Synthesized Receiverual Clock Radio"
fixitclinic_10,"Fixit Clinic",USA,"Sewing machine","Brother ","Can’t remember ",????,Unknown,"Fixit Clinic",2018-01-21,"Sewing machine  ~ Only sews backwards"
fixitclinic_11,"Fixit Clinic",USA,"Small kitchen item","Black and Decker",Unknown,????,"End of life","Fixit Clinic",2018-01-21,"Rice cooker"
fixitclinic_12,"Fixit Clinic",USA,"Portable radio",Son,CF-350,????,Fixed,"Fixit Clinic",2018-01-21,"FM/AM Radio Cassette-Corder"
fixitclinic_14,"Fixit Clinic",USA,"Small kitchen item",Cuisinart,Unknown,????,Repairable,"Fixit Clinic",2018-01-21,Toaster
fixitclinic_16,"Fixit Clinic",USA,Tablet,"Apple ",2014,2014,Fixed,"Fixit Clinic",2018-01-27,"ipad  ~ Not accepting password "
fixitclinic_18,"Fixit Clinic",USA,"Sewing machine","Singer ""Featherweight""  ","1940s? ",2008,Fixed,"Fixit Clinic",2018-01-27,"Sewing Machine ~ Bobbin threader not working "
fixitclinic_20,"Fixit Clinic",USA,Lamp,N/A,"N/A ",2008,Repairable,"Fixit Clinic",2018-01-27,"Lamp  ~ Needs rewiring and new switch"
fixitclinic_23,"Fixit Clinic",USA,"Small kitchen item","Cuisinart ",Unknown,2008,Fixed,"Fixit Clinic",2018-01-27,"Cuisinart Food Mixer  ~ No power "
fixitclinic_24,"Fixit Clinic",USA,Toy,"Roman Inc","Roman Inc",2008,Fixed,"Fixit Clinic",2018-01-27,"Christmas Song Village ~ Stopped Singing"
fixitclinic_25,"Fixit Clinic",USA,Toy,"Not sure?","Not sure? Found it at swap shop! ",????,Fixed,"Fixit Clinic",2018-01-27,"Barbie CD Player - Pink with radio ~ Skipping when moved at all "
fixitclinic_26,"Fixit Clinic",USA,"Small kitchen item","Cusinart Smart Stick Hand Blender ",CSB-76,2013,Fixed,"Fixit Clinic",2018-01-27,"Immersion Blender ~ Won't blend without terrible noise - gear coming out "
fixitclinic_27,"Fixit Clinic",USA,Fan,Holmes,Unknown,2014,Fixed,"Fixit Clinic",2018-01-27,"Fan ~ Doesn't Spin "
fixitclinic_28,"Fixit Clinic",USA,Watch/clock,Personalization,Unknown,2009,Fixed,"Fixit Clinic",2018-01-27,"Clock ~ Clock hands fell off "
fixitclinic_29,"Fixit Clinic",USA,Lamp,Unknown,"Needs socket and new wire ",2008,Repairable,"Fixit Clinic",2018-01-27,"Lamp ~ Needs new socket and rewiring "
fixitclinic_31,"Fixit Clinic",USA,Lamp,?,?,2008,Fixed,"Fixit Clinic",2018-01-27,"Lamp ~ I want a three way socket installed "
fixitclinic_32,"Fixit Clinic",USA,Vacuum,"Meili ","Found it in a metal pile ",????,Repairable,"Fixit Clinic",2018-01-27,"Vacuum ~ Cord doesn't retract "
fixitclinic_33,"Fixit Clinic",USA,"Sewing machine","Viking Husqvarna ",Unknown,2008,Fixed,"Fixit Clinic",2018-01-27,"Sewing Machine ~ Function slide is not working "
