id,data_provider,country,partner_product_category,product_category,brand,year_of_manufacture,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
fixitclinic_1,"Fixit Clinic",USA,Iron,Iron,Sunbeam,2016,Unknown,,"Fixit Clinic",2018-01-02,"Steam selector switch broken, tip of soleplate broken"
fixitclinic_2,"Fixit Clinic",USA,Iron,Iron,Sunbeam,????,Unknown,,"Fixit Clinic",2018-01-02,
fixitclinic_3,"Fixit Clinic",USA,"Artificial christmas tree lights","Decorative or safety lights",GE,????,Unknown,,"Fixit Clinic",2018-01-13,
fixitclinic_4,"Fixit Clinic",USA,"12"" Table Fan",Fan,Holmes,????,Unknown,,"Fixit Clinic",2018-01-14,
fixitclinic_5,"Fixit Clinic",USA,"upright vacuum ",Vacuum,"Hoover ",????,Unknown,,"Fixit Clinic",2018-01-14,
fixitclinic_6,"Fixit Clinic",USA,"CD player","Hi-Fi separates",Curtis,????,Unknown,,"Fixit Clinic",2018-01-14,
fixitclinic_7,"Fixit Clinic",USA,Fan,Fan,Aries,????,Unknown,,"Fixit Clinic",2018-01-14,
fixitclinic_8,"Fixit Clinic",USA,blender,"Food processor","kitchen aid",2008,Unknown,,"Fixit Clinic",2018-01-14,"A part required replacing. The directions supplied with the new part(s) made replacement procedure unclear."
fixitclinic_9,"Fixit Clinic",USA,"SSW Radio /Dual Conversion12 Bands/Dual Clock/FM Stereo/SW/MW/PLL Synthesized Receiverual Clock Radio","Portable radio",SONY,????,Repairable,,"Fixit Clinic",2018-01-19,
fixitclinic_10,"Fixit Clinic",USA,"Sewing machine ","Sewing machine","Brother ",????,Unknown,,"Fixit Clinic",2018-01-21,"Only sews backwards"
fixitclinic_11,"Fixit Clinic",USA,"Rice cooker","Small kitchen item","Black and Decker",????,"End of life",,"Fixit Clinic",2018-01-21,
fixitclinic_12,"Fixit Clinic",USA,"FM/AM Radio Cassette-Corder","Portable radio",Son,????,Fixed,,"Fixit Clinic",2018-01-21,
fixitclinic_14,"Fixit Clinic",USA,Toaster,Toaster,Cuisinart,????,Repairable,,"Fixit Clinic",2018-01-21,
fixitclinic_16,"Fixit Clinic",USA,"ipad ",Tablet,"Apple ",2014,Fixed,,"Fixit Clinic",2018-01-27,"Not accepting password "
fixitclinic_18,"Fixit Clinic",USA,"Sewing machine","Sewing machine","Singer ""Featherweight""  ",2008,Fixed,,"Fixit Clinic",2018-01-27,"Bobbin threader not working "
fixitclinic_20,"Fixit Clinic",USA,"Lamp ",Lamp,N/A,2008,Repairable,,"Fixit Clinic",2018-01-27,"Needs rewiring and new switch"
fixitclinic_23,"Fixit Clinic",USA,"Cuisinart Food Mixer ","Food processor","Cuisinart ",2008,Fixed,,"Fixit Clinic",2018-01-27,"No power "
fixitclinic_24,"Fixit Clinic",USA,"Christmas Song Village",Toy,"Roman Inc",2008,Fixed,,"Fixit Clinic",2018-01-27,"Stopped Singing"
fixitclinic_25,"Fixit Clinic",USA,"Barbie CD Player - Pink with radio",Toy,"Not sure?",????,Fixed,,"Fixit Clinic",2018-01-27,"Skipping when moved at all "
fixitclinic_26,"Fixit Clinic",USA,"Immersion Blender","Food processor","Cusinart Smart Stick Hand Blender ",2013,Fixed,,"Fixit Clinic",2018-01-27,"Won't blend without terrible noise - gear coming out "
fixitclinic_27,"Fixit Clinic",USA,Fan,Fan,Holmes,2014,Fixed,,"Fixit Clinic",2018-01-27,"Doesn't Spin "
fixitclinic_28,"Fixit Clinic",USA,Clock,Watch/clock,Personalization,2009,Fixed,,"Fixit Clinic",2018-01-27,"Clock hands fell off "
fixitclinic_29,"Fixit Clinic",USA,Lamp,Lamp,Unknown,2008,Repairable,,"Fixit Clinic",2018-01-27,"Needs new socket and rewiring "
fixitclinic_31,"Fixit Clinic",USA,Lamp,Lamp,?,2008,Fixed,,"Fixit Clinic",2018-01-27,"I want a three way socket installed "
fixitclinic_32,"Fixit Clinic",USA,Vacuum,Vacuum,"Meili ",????,Repairable,,"Fixit Clinic",2018-01-27,"Cord doesn't retract "
fixitclinic_33,"Fixit Clinic",USA,"Sewing machine","Sewing machine","Viking Husqvarna ",2008,Fixed,,"Fixit Clinic",2018-01-27,"Function slide is not working "
fixitclinic_35,"Fixit Clinic",USA,"room air purifier",Aircon/dehumidifier,"Austin Air",????,Repairable,,"Fixit Clinic",2018-01-28,
fixitclinic_37,"Fixit Clinic",USA,"desk lamp",Lamp,"unknown/ Danish",????,Fixed,,"Fixit Clinic",2018-01-28,
fixitclinic_38,"Fixit Clinic",USA,Laptop,Laptop,"Lenovo ",2013,Unknown,,"Fixit Clinic",2018-01-28,"2017 , Screen Broken"
fixitclinic_39,"Fixit Clinic",USA,Lamp,Lamp,Unknown,????,Fixed,,"Fixit Clinic",2018-01-29,
fixitclinic_40,"Fixit Clinic",USA,"Kid's keyboard",Toy,Canto,????,Repairable,,"Fixit Clinic",2018-01-29,
fixitclinic_41,"Fixit Clinic",USA,"Bedside lamp",Lamp,Target,????,Fixed,,"Fixit Clinic",2018-01-29,
fixitclinic_43,"Fixit Clinic",USA,"Sewing machine","Sewing machine","Sears Kenmore ",2008,Repairable,,"Fixit Clinic",2018-01-29,"Stopped working "
fixitclinic_45,"Fixit Clinic",USA,"Wireless headphones",Headphones,C02Y,2017,Unknown,,"Fixit Clinic",2018-01-30,"Not charging "
fixitclinic_46,"Fixit Clinic",USA,"Sewing machine","Sewing machine",Unknown,2008,Fixed,,"Fixit Clinic",2018-01-30,"Doesn't work "
fixitclinic_47,"Fixit Clinic",USA,"plastic food processor top ","Food processor",Braun,2008,Fixed,,"Fixit Clinic",2018-01-30,"Chute part melted, want to cut top part off so I can use the pusher "
