id,data_provider,country,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
repaircafe_1,"Repair Café",NLD,"Small kitchen item",Nespresso,Unknown,????,Unknown,0074,2016-07-12,
repaircafe_2,"Repair Café",NLD,"Hi-Fi separates",Philips,Unknown,????,Fixed,0010,2017-01-06,"de spoelen draaiden niet meer ~ motor of snaren"
repaircafe_3,"Repair Café",NLD,Toy,Unknown,Unknown,????,Fixed,0010,2017-01-06,"doet het niet ~ batterijen"
repaircafe_4,"Repair Café",NLD,Watch/clock,Unknown,Unknown,????,Fixed,0010,2017-01-06,"te lang stilgestaan (batterij) oxide in het klokje"
repaircafe_5,"Repair Café",NLD,"Small kitchen item",Unknown,Unknown,????,Fixed,0010,2017-01-06,"doet het niet"
repaircafe_6,"Repair Café",NLD,Lamp,"Grundig ",Unknown,????,Repairable,0010,2017-01-06,"mood light geeft maar √©√©n kleur ~ fout in chip"
repaircafe_7,"Repair Café",NLD,Battery/charger/adapter,Unknown,"oplader van boormachine",????,Fixed,0010,2017-01-06,"laad niet op ~ storing op print"
repaircafe_8,"Repair Café",NLD,Lamp,Unknown,Unknown,????,Unknown,0010,2017-01-06,defect
repaircafe_9,"Repair Café",NLD,Toy,Unknown,Unknown,????,Unknown,0010,2017-01-06,defect
repaircafe_10,"Repair Café",NLD,Tablet,Sony,Unknown,????,Repairable,0010,2017-01-06,"e-reader gaat niet aan ~ accu "
repaircafe_14,"Repair Café",NLD,Headphones,"Audio Technica",ATH-ES55,2012,Fixed,0016,2017-01-07,"gebroken kabeltje"
repaircafe_15,"Repair Café",NLD,"Small kitchen item",FrancisFrancis,SI,2012,Repairable,0016,2017-01-07,
repaircafe_16,"Repair Café",NLD,"Small kitchen item",Philips,Unknown,2010,Fixed,0016,2017-01-07,
repaircafe_17,"Repair Café",NLD,Aircon/Dehumidifier,Venta,Unknown,2009,Fixed,0016,2017-01-07,"Teruggekomen van vorige keer, nu met waterbak. Werkte niet ~ Schakelaar"
repaircafe_18,"Repair Café",NLD,Lamp,Unknown,Unknown,????,Fixed,0016,2017-01-07,"lamp flikkert en armen zij instabiel ~ Gebruik"
repaircafe_19,"Repair Café",NLD,Laptop,Unknown,Unknown,????,Repairable,0016,2017-01-07,advies
repaircafe_20,"Repair Café",NLD,"Small kitchen item","Everglades ","EV 258",2005,Repairable,0016,2017-01-07,"relais defect"
repaircafe_22,"Repair Café",NLD,"Hi-Fi separates",WAD,"C 325BEE",2006,Repairable,0016,2017-01-07,
