id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcdenmark_2,"Repair Café Denmark",DNK,Legetøjsbil,Toy,32,Unknown,,,Fixed,,"Repair Café Danmark",2020-01-04,
rcdenmark_3,"Repair Café Denmark",DNK,Legetøjsbil,Toy,32,Unknown,,,Fixed,,"Repair Café Danmark",2020-01-04,
rcdenmark_4,"Repair Café Denmark",DNK,Håndstøvsuger,Vacuum,34,Unknown,,,"End of life","Item too worn out","Repair Café Danmark",2020-01-25,
rcdenmark_11,"Repair Café Denmark",DNK,"AV-udstyr ~ Lampe",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2020-02-24,
rcdenmark_12,"Repair Café Denmark",DNK,"AV-udstyr ~ Lampe",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2020-02-24,
rcdenmark_15,"Repair Café Denmark",DNK,"AV-udstyr ~ Computer","Desktop computer",4,Unknown,,,Repairable,,"Repair Café Danmark",2020-08-08,
rcdenmark_16,"Repair Café Denmark",DNK,"AV-udstyr ~ Computer","Desktop computer",4,Unknown,,,Repairable,,"Repair Café Danmark",2020-08-08,
rcdenmark_33,"Repair Café Denmark",DNK,"Andet ~ Auto Batterier",Battery/charger/adapter,2,Bosch,,,Fixed,,"Repair Café Danmark",2020-10-21,
rcdenmark_34,"Repair Café Denmark",DNK,"Andet ~ Auto Batterier",Battery/charger/adapter,2,Bosch,,,Fixed,,"Repair Café Danmark",2020-10-21,
rcdenmark_35,"Repair Café Denmark",DNK,"Andet ~ Auto Batterier",Battery/charger/adapter,2,Bosch,,,Fixed,,"Repair Café Danmark",2020-10-21,
rcdenmark_36,"Repair Café Denmark",DNK,"Andet ~ Auto Batterier",Battery/charger/adapter,2,Bosch,,,Fixed,,"Repair Café Danmark",2020-10-21,
rcdenmark_37,"Repair Café Denmark",DNK,"Andet ~ Auto Batterier",Battery/charger/adapter,2,Bosch,,,Fixed,,"Repair Café Danmark",2020-10-21,
rcdenmark_44,"Repair Café Denmark",DNK,"AV-udstyr ~ Skærm","Flat screen",8,Samsung,,,Fixed,,"Repair Café Danmark",2020-11-11,
rcdenmark_45,"Repair Café Denmark",DNK,"AV-udstyr ~ Skærm","Flat screen",8,Samsung,,,Fixed,,"Repair Café Danmark",2020-11-11,
rcdenmark_47,"Repair Café Denmark",DNK,Havelampe,Lamp,15,"Kineser model",,,Fixed,,"Repair Café Danmark",2021-06-05,
rcdenmark_48,"Repair Café Denmark",DNK,Havelampe,Lamp,15,"Kineser model",,,Fixed,,"Repair Café Danmark",2021-06-05,
rcdenmark_49,"Repair Café Denmark",DNK,Havelampe,Lamp,15,"Kineser model",,,Fixed,,"Repair Café Danmark",2021-06-05,
rcdenmark_55,"Repair Café Denmark",DNK,Powerbank,Battery/charger/adapter,2,Unknown,,,Fixed,,"Repair Café Danmark",2021-08-21,
rcdenmark_56,"Repair Café Denmark",DNK,Telefon,"Small home electrical",28,"Bang & Olufsen",,,Fixed,,"Repair Café Danmark",2021-08-21,
rcdenmark_57,"Repair Café Denmark",DNK,Telefon,"Small home electrical",28,"Bang & Olufsen",,,Fixed,,"Repair Café Danmark",2021-08-21,
rcdenmark_65,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_66,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_67,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_68,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_69,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_70,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_71,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_72,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_73,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_74,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_75,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_76,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_77,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_78,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_79,"Repair Café Denmark",DNK,"Andet ~ Julelampe","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-09-22,
rcdenmark_87,"Repair Café Denmark",DNK,"Computere/tablets ~ iPad",Tablet,30,Apple,,,Fixed,,"Repair Café Danmark",2021-10-30,
rcdenmark_88,"Repair Café Denmark",DNK,Lampe,Lamp,15,Melita,,,Fixed,,"Repair Café Danmark",2021-11-06,
rcdenmark_93,"Repair Café Denmark",DNK,"AV-udstyr ~ Mikrofrontilbehør","Small home electrical",28,Unknown,,,Fixed,,"Repair Café Danmark",2021-11-21,
