id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
repaircafe_1,Repair Café,NLD,Dutch,Small home electrical,Unknown,Unknown,2000,Fixed,Repair Café 0031,2019-08-31,Werkt miet
repaircafe_2,Repair Café,NLD,Dutch,Small kitchen item,Russell Hobbs,Unknown,2000,Fixed,Repair Café 0031,2019-08-31,Geen stroom
repaircafe_3,Repair Café,NLD,Dutch,Power tool,Black & Decker,Unknown,2010,Fixed,Repair Café 0031,2019-08-31,Stopt tijdens het draaien
repaircafe_4,Repair Café,NLD,Dutch,Vacuum,AEG,Unknown,2013,Repairable,Repair Café 0031,2019-08-31,Zuigt niet meer
repaircafe_6,Repair Café,NLD,Dutch,Fan,Unknown,Unknown,2018,Fixed,Repair Café 0031,2019-08-31,Doet het niet meer oorzaak onbekend
repaircafe_7,Repair Café,NLD,Dutch,Hair & Beauty item,Gold Master,Unknown,2018,Fixed,Repair Café 0031,2019-08-31,Kap klikt niet meer op het apparaat
repaircafe_8,Repair Café,NLD,Dutch,Vacuum,Dyson,Unknown,2017,Fixed,Repair Café 0031,2019-08-31,Geeft geen contact
repaircafe_11,Repair Café,NLD,Dutch,Power tool,Bosch,Unknown,2016,Unknown,Repair Café 0031,2019-08-31,Komt rook uit
repaircafe_13,Repair Café,NLD,Dutch,Vacuum,AEG Electrolux,Unknown,2009,Fixed,Repair Café 0031,2019-08-31,Hield er plots mee op ws. snoerbreuk
repaircafe_14,Repair Café,NLD,Dutch,Small kitchen item,NOVA,Unknown,2018,Unknown,Repair Café 0031,2019-08-31,Werkt niet mee/ snoer dan maken  Intern  dan laat maar
repaircafe_15,Repair Café,NLD,Dutch,Vacuum,Philips,Unknown,2015,Fixed,Repair Café 0031,2019-08-31,Snoer zit vast 
repaircafe_17,Repair Café,NLD,Dutch,Small kitchen item,Telefunken,Unknown,2018,Unknown,Repair Café 0031,2019-08-31,Is in een keer gestopt
repaircafe_18,Repair Café,NLD,Dutch,Small kitchen item,Tefal,Unknown,2018,Unknown,Repair Café 0031,2019-08-31,Wordt niet warm
repaircafe_19,Repair Café,NLD,Dutch,Small kitchen item,Selver krest van Lidl,Unknown,2017,Unknown,Repair Café 0031,2019-08-31,Watertoevoer ws. stuk
repaircafe_20,Repair Café,NLD,Dutch,Vacuum,Miele,Unknown,2000,Unknown,Repair Café 0031,2019-08-31,Doet niets meer
repaircafe_21,Repair Café,NLD,Dutch,Small kitchen item,Severin,Unknown,2018,Unknown,Repair Café 0031,2019-08-31,Doet niets en is z.g.a.n.
repaircafe_22,Repair Café,NLD,Dutch,Small kitchen item,Nespresso,Unknown,2012,Repairable,Repair Café 0031,2019-08-31,"Apparaat lekt, soms veel / soms weinig"
repaircafe_24,Repair Café,NLD,Dutch,Portable radio,Telefunken,Unknown,2000,Repairable,Repair Café 0031,2019-08-31,Knoppen gaan moeilijk
repaircafe_25,Repair Café,NLD,Dutch,Portable radio,Sound master,Unknown,2016,Unknown,Repair Café 0031,2019-08-31,cd-speler is defect
repaircafe_26,Repair Café,NLD,Dutch,Toy,Spinmaster,Unknown,2018,Unknown,Repair Café 0031,2019-08-31,Is gevallen en werkt niet meer
