id,data_provider,country,partner_product_category,product_category,brand,year_of_manufacture,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcint_1,"Repair Café International",NLD,"Other ~ Christmas lights","Decorative or safety lights",Unknown,????,"End of life",,0074,1999-12-13,
rcint_2,"Repair Café International",NLD,"Household appliances electric ~ Television","TV and gaming-related accessories",Unknown,????,"End of life",,0074,1999-12-13,
rcint_3,"Repair Café International",NLD,"Household appliances electric ~ Electric window wiper","Small home electrical",Unknown,????,"End of life",,0074,1999-12-13,
rcint_5,"Repair Café International",NLD,"Other ~ Remote control","TV and gaming-related accessories",Unknown,????,Fixed,,0074,1999-12-13,
rcint_7,"Repair Café International",NLD,"Household appliances electric ~ Coffee maker","Coffee maker",Philips,????,Repairable,,0074,1999-12-13,
rcint_9,"Repair Café International",NLD,"Household appliances electric ~ Vacuum cleaner",Vacuum,Dyson,????,"End of life",,0074,1999-12-13,
rcint_10,"Repair Café International",NLD,"Display and sound equipment ~ Remote control","TV and gaming-related accessories",Unknown,????,Repairable,,0074,1999-12-13,
rcint_11,"Repair Café International",NLD,"Display and sound equipment ~ CD player/recorder","Hi-Fi separates",Unknown,????,Fixed,,0074,1999-12-13,
rcint_12,"Repair Café International",NLD,"Household appliances electric ~ Hair dryer","Hair dryer",Unknown,????,Fixed,,0074,1999-12-13,
rcint_13,"Repair Café International",NLD,"Display and sound equipment ~ Remote control","TV and gaming-related accessories",Unknown,????,"End of life",,0074,1999-12-13,
rcint_14,"Repair Café International",NLD,"Display and sound equipment ~ Turntable","Hi-Fi separates",Unknown,????,"End of life",,0074,1999-12-13,
rcint_15,"Repair Café International",NLD,"Toys electric ~ Toy",Toy,Unknown,????,Repairable,,0074,1999-12-13,
rcint_16,"Repair Café International",NLD,"Clocks / alarm clocks ~ Clock",Watch/clock,Unknown,????,Fixed,,0074,1999-12-13,
rcint_17,"Repair Café International",NLD,"Tools electric ~ Chainsaw","Power tool",Unknown,????,Fixed,,0074,1999-12-13,
rcint_18,"Repair Café International",NLD,"Household appliances electric ~ Blender","Food processor",Unknown,????,"End of life",,0074,1999-12-13,
rcint_22,"Repair Café International",FRA,"Computers/phones ~ Hard disk","PC accessory",Unknown,????,"End of life",,0122,2016-01-16,"En d?©faut"
rcint_23,"Repair Café International",FRA,"Computers/phones ~ Computer","Desktop computer",Unknown,????,Fixed,,0122,2016-01-16,"d?©faut de charge"
rcint_24,"Repair Café International",FRA,"Display and sound equipment ~ Video player/recorder","DSLR/video camera",Unknown,????,Repairable,,0122,2016-01-16,"Pas de vid?©o uniquement le son"
rcint_25,"Repair Café International",FRA,"Display and sound equipment ~ Stereoset","Hi-Fi integrated",Unknown,????,"End of life",,0122,2016-01-16,"Probl?®me son"
rcint_26,"Repair Café International",FRA,"Display and sound equipment ~ Video player/recorder","DSLR/video camera",Philips,????,"End of life",,0122,2016-01-16,"Ne fonctionne plus"
rcint_27,"Repair Café International",FRA,"Household appliances electric ~ Blender","Food processor",Unknown,????,Fixed,,0122,2016-01-16,"L'h?©lice s'est d?©tach?©e du bras"
rcint_28,"Repair Café International",FRA,"Household appliances electric ~ Soup maker","Small kitchen item",Unknown,????,Fixed,,0122,2016-01-16,"L'h?©lice ne tourne plus"
rcint_29,"Repair Café International",FRA,"Display and sound equipment ~ DVD player/recorder","Hi-Fi separates",Unknown,????,Fixed,,0122,2016-01-16,"Ne fonctionne pas"
rcint_30,"Repair Café International",FRA,"Other ~ Thermostat",Misc,Unknown,????,Repairable,,0122,2016-02-20,"Ne stop pas la temp?©rature du radiateur"
rcint_31,"Repair Café International",FRA,"Other ~ Pressure cooker","Small kitchen item",Seb,????,Fixed,,0122,2016-04-16,Fuite
rcint_32,"Repair Café International",FRA,"Household appliances electric ~ Coffee maker","Coffee maker",Unknown,????,Repairable,,0122,2016-04-16,"L'eau ne s'?©coule pas correctement dans le caf?©"
rcint_33,"Repair Café International",FRA,"Household appliances electric ~ Microwave oven","Small kitchen item",Panasonic,????,Fixed,,0122,2016-05-21,"La porte ne ferme plus"
rcint_34,"Repair Café International",FRA,"Computers/phones ~ Computer","Desktop computer",Unknown,????,Repairable,,0122,2016-05-21,"Pack office ne marche pas bien"
rcint_35,"Repair Café International",FRA,"Display and sound equipment ~ Television","TV and gaming-related accessories",Samsung,????,Repairable,,0122,2016-05-21,"Plus d'image"
rcint_36,"Repair Café International",FRA,"Computers/phones ~ Computer","Desktop computer",MSI,????,Repairable,,0122,2016-05-21,"l'?©cran de l'ordinateur portable reste noir"
rcint_37,"Repair Café International",FRA,"Computers/phones ~ Printer",Printer/scanner,Unknown,????,Fixed,,0122,2016-05-21,"Les feuilles ne sont plus entrain?©es"
rcint_39,"Repair Café International",NLD,"Household appliances electric ~ Coffee maker","Coffee maker",Nespresso,????,"End of life",,0074,2016-07-12,
rcint_40,"Repair Café International",FRA,"Computers/phones ~ Computer","Desktop computer",Unknown,????,Repairable,,0122,2016-10-22,"Pas de connexion avec internet"
rcint_41,"Repair Café International",FRA,"Household appliances electric ~ Oven","Large home electrical",Unknown,????,Repairable,,0122,2016-10-22,"Ne s'allume plus"
rcint_42,"Repair Café International",FRA,"Household appliances electric ~ Juice extractor","Small kitchen item",Unknown,????,Repairable,,0122,2016-10-22,"D?©faut de condensateur"
rcint_43,"Repair Café International",FRA,"Computers/phones ~ Computer","Desktop computer",Unknown,????,Repairable,,0122,2016-10-22,"d?©faut de c?¢blage"
rcint_44,"Repair Café International",FRA,"Household appliances electric ~ Toaster","Small kitchen item",Unknown,????,"End of life",,0122,2016-10-22,"Ne reste plus en position"
rcint_45,"Repair Café International",FRA,"Household appliances electric ~ Vacuum cleaner",Vacuum,Unknown,????,"End of life",,0122,2016-11-19,"Mise en marche impossible"
rcint_46,"Repair Café International",FRA,"Household appliances electric ~ Toaster","Small kitchen item",Unknown,????,"End of life",,0122,2016-11-19,"Ne grille plus les tartines"
rcint_47,"Repair Café International",FRA,"Display and sound equipment ~ Television","TV and gaming-related accessories",Unknown,????,"End of life",,0122,2016-11-19,"Pas d'infos"
rcint_48,"Repair Café International",NLD,"Display and sound equipment ~ Tape recorder","Hi-Fi separates",Philips,????,Fixed,,0010,2017-01-06,"motor of snaren"
rcint_49,"Repair Café International",NLD,"Computers/phones ~ E-reader / E-book reader",Tablet,Sony,????,Repairable,,0010,2017-01-06,accu
rcint_50,"Repair Café International",NLD,"Toys electric ~ Toy",Toy,Unknown,????,Fixed,,0010,2017-01-06,batterijen
rcint_51,"Repair Café International",NLD,"Clocks / alarm clocks ~ Clock",Watch/clock,Unknown,????,Fixed,,0010,2017-01-06,"te lang stilgestaan (batterij) oxide in het klokje"
rcint_52,"Repair Café International",NLD,"Clocks / alarm clocks ~ Cooking timer",Watch/clock,Unknown,????,Fixed,,0010,2017-01-06,
rcint_53,"Repair Café International",NLD,"Household appliances electric ~ Lamp/lighting",Lamp,Grundig,????,Repairable,,0010,2017-01-06,"fout in chip"
rcint_54,"Repair Café International",NLD,"Tools electric ~ Charger (battery / power supply)",Battery/charger/adapter,Unknown,????,Fixed,,0010,2017-01-06,"storing op print"
rcint_55,"Repair Café International",NLD,"Household appliances electric ~ Lamp/lighting",Lamp,Unknown,????,"End of life",,0010,2017-01-06,
rcint_56,"Repair Café International",NLD,"Toys electric ~ Toy",Toy,Unknown,????,"End of life",,0010,2017-01-06,
rcint_57,"Repair Café International",NLD,"Computers/phones ~ Laptop",Laptop,Unknown,????,Repairable,,0016,2017-01-07,
rcint_58,"Repair Café International",NLD,"Household appliances electric ~ Microwave","Small kitchen item",Everglades,2005,Repairable,,0016,2017-01-07,"relais defect"
rcint_60,"Repair Café International",NLD,"Display and sound equipment ~ Amplifier","Hi-Fi separates",WAD,2006,Repairable,,0016,2017-01-07,
rcint_61,"Repair Café International",NLD,"Furniture ~ Lamp/lighting",Lamp,Unknown,1996,Repairable,,0016,2017-01-07,
rcint_62,"Repair Café International",NLD,"Display and sound equipment ~ Remote control","TV and gaming-related accessories",BigBen,2001,Repairable,,0016,2017-01-07,
rcint_63,"Repair Café International",NLD,"Furniture ~ Lamp/lighting",Lamp,Unknown,????,Fixed,,0016,2017-01-07,
