id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rctoronto_1,Repair Café Toronto,CAN,Game controller,TV and gaming-related accessories,33,Unknown,"","",Unknown,"",Repair Café Toronto,2019-12-15,""
rctoronto_3,Repair Café Toronto,CAN,Steamer,Power tool,24,Unknown,"","",Unknown,"",Repair Café Toronto,2019-12-15,""
rctoronto_4,Repair Café Toronto,CAN,Headset,Headphones,11,Unknown,"","",Unknown,"",Repair Café Toronto,2019-12-15,""
rctoronto_5,Repair Café Toronto,CAN,Vacuum cleaner,Vacuum,34,Unknown,"","",Unknown,"",Repair Café Toronto,2019-12-15,""
rctoronto_6,Repair Café Toronto,CAN,Toaster Oven,Small kitchen item,29,Unknown,"","",Unknown,"",Repair Café Toronto,2019-12-15,""
rctoronto_7,Repair Café Toronto,CAN,Light,Decorative or safety lights,3,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_10,Repair Café Toronto,CAN,Alarm clock,Watch/clock,35,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_11,Repair Café Toronto,CAN,Computer,Laptop,16,Unknown,"","",Fixed,"",Repair Café Toronto,2020-01-18,""
rctoronto_12,Repair Café Toronto,CAN,Laptop,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_13,Repair Café Toronto,CAN,Electric razor,Hair & beauty item,9,Unknown,"","",Fixed,"",Repair Café Toronto,2020-01-18,""
rctoronto_14,Repair Café Toronto,CAN,keyboard,PC accessory,22,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_20,Repair Café Toronto,CAN,Vacuum cleaner,Vacuum,34,Unknown,"","",Fixed,"",Repair Café Toronto,2016-03-19,""
rctoronto_15,Repair Café Toronto,CAN,Iphone,Mobile,19,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_16,Repair Café Toronto,CAN,Headphones,Headphones,11,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_17,Repair Café Toronto,CAN,Clock radio,Portable radio,23,Unknown,"","",Fixed,"",Repair Café Toronto,2020-01-18,""
rctoronto_18,Repair Café Toronto,CAN,Walkman,Handheld entertainment device,10,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_19,Repair Café Toronto,CAN,Fan,Fan,7,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_25,Repair Café Toronto,CAN,Calculator,Small home electrical,28,Unknown,"","",Unknown,"",Repair Café Toronto,2016-03-19,""
rctoronto_21,Repair Café Toronto,CAN,Kettle,Kettle,14,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_23,Repair Café Toronto,CAN,Heating pad,Small home electrical,28,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_24,Repair Café Toronto,CAN,Charger,Battery/charger/adapter,2,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_29,Repair Café Toronto,CAN,Coffee maker,Coffee maker,36,Unknown,"","",End of life,"",Repair Café Toronto,2016-03-19,""
rctoronto_26,Repair Café Toronto,CAN,Iphone,Mobile,19,Unknown,"","",End of life,"",Repair Café Toronto,2020-01-18,""
rctoronto_27,Repair Café Toronto,CAN,Watch,Watch/clock,35,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_28,Repair Café Toronto,CAN,Lamp,Lamp,15,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_30,Repair Café Toronto,CAN,Kettle,Kettle,14,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_31,Repair Café Toronto,CAN,DVD player,TV and gaming-related accessories,33,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_32,Repair Café Toronto,CAN,Drill,Power tool,24,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_33,Repair Café Toronto,CAN,Clock radio,Portable radio,23,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
