id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcwales_3,Repair Cafe Wales,GBR,Electrical ~ Iron,Iron,40,Unknown,"","",Fixed,"",Cardiff Cathays,2017-04-01,Iron Broken
rcwales_4,Repair Cafe Wales,GBR,Electrical,Small home electrical,28,Unknown,"","",Repairable,"",Cardiff Cathays,2017-04-01,Stops working intermittently
rcwales_5,Repair Cafe Wales,GBR,Electrical ~ TV,Flat screen,8,Unknown,"","",Repairable,"",Cardiff Cathays,2017-04-01,TV stopped working - on/off button
rcwales_6,Repair Cafe Wales,GBR,Electrical,Small home electrical,28,Unknown,"","",Unknown,"",Cardiff Cathays,2017-04-01,not heating
rcwales_7,Repair Cafe Wales,GBR,Other ~ Guitar pedal,Small home electrical,28,Unknown,"","",Fixed,"",Cardiff Cathays,2017-04-01,Guitar pedal Doesn't turn on
rcwales_11,Repair Cafe Wales,GBR,Electrical ~ Garden Shredder,Power tool,24,Unknown,"","",Fixed,"",Cardiff Cathays,2017-04-01,Garden Shredder wont switch on!
rcwales_12,Repair Cafe Wales,GBR,Electrical ~ Hedge Trimmer,Power tool,24,Unknown,"","",Fixed,"",Cardiff Cathays,2017-04-01,Hedge Trimmer Dodggy switch on hedgecutter
rcwales_15,Repair Cafe Wales,GBR,Electrical ~ Hair straightners,Hair & beauty item,9,Unknown,"","",Unknown,"",Cardiff Cathays,2017-04-01,Hair straightners not working
rcwales_16,Repair Cafe Wales,GBR,Electrical ~ strimmer,Power tool,24,Unknown,"","",Repairable,"",Cardiff Cathays,2017-04-01,strimmer
rcwales_17,Repair Cafe Wales,GBR,Electrical ~ Lamp,Lamp,15,Unknown,"","",Repairable,"",Cardiff Cathays,2017-04-01,Lamp Bulb fitting
rcwales_18,Repair Cafe Wales,GBR,Electrical,Small home electrical,28,Unknown,"","",Fixed,"",Cardiff Cathays,2017-04-01,Not working
rcwales_19,Repair Cafe Wales,GBR,IT/Phone ~ Printer,Printer/scanner,25,Unknown,"","",Fixed,"",Cardiff Cathays,2017-04-01,Printer is not feeding paper through or printing
rcwales_20,Repair Cafe Wales,GBR,IT/Phone ~ tablet,Tablet,30,Unknown,"","",End of life,"",Cardiff Cathays,2017-04-01,tablet Screen replace but now not working
rcwales_21,Repair Cafe Wales,GBR,IT/Phone ~ tablet,Tablet,30,Unknown,"","",Unknown,"",Cardiff Cathays,2017-04-01,tablet Broken screen
rcwales_22,Repair Cafe Wales,GBR,Other ~ watch,Watch/clock,35,Unknown,"","",Unknown,"",Cardiff Cathays,2017-04-01,watch strap loose
rcwales_23,Repair Cafe Wales,GBR,Electrical ~ Radio,Portable radio,23,Unknown,"","",Repairable,"",Cardiff Cathays,2017-04-01,Radio Batteries leaked
rcwales_26,Repair Cafe Wales,GBR,Electrical ~ lamp,Lamp,15,Unknown,"","",Fixed,"",Cardiff Cathays,2017-04-01,lamp bulb fitting broken
rcwales_29,Repair Cafe Wales,GBR,IT/Phone ~ Laptop,Laptop,16,Unknown,"","",Repairable,"",Cardiff Cathays,2017-04-01,Laptop Loose charging Port
rcwales_33,Repair Cafe Wales,GBR,Electrical,Small home electrical,28,Unknown,"","",Repairable,"",Cardiff Cathays,2017-04-01,Not working
rcwales_36,Repair Cafe Wales,GBR,Other ~ Watch,Watch/clock,35,Unknown,"","",Repairable,"",Cardiff Cathays,2017-04-01,Watch back stuck
rcwales_38,Repair Cafe Wales,GBR,IT/Phone ~ Phone,Mobile,19,Unknown,"","",End of life,"",Cardiff Cathays,2017-04-01,Phone Not charging + not picking up emails
rcwales_39,Repair Cafe Wales,GBR,Electrical,Small home electrical,28,Unknown,"","",Unknown,"",Cardiff Cathays,2017-04-01,Battery not charging
rcwales_42,Repair Cafe Wales,GBR,Electrical ~ 2x kettle,Kettle,14,Unknown,"","",End of life,"",Cardiff Cathays,2017-05-01,"2x kettle 1 leaking, 1 wont switch on"
rcwales_43,Repair Cafe Wales,GBR,Electrical ~ 3 x Electrics,Small home electrical,28,Unknown,"","",Fixed,"",Cardiff Cathays,2017-05-01,3 x Electrics
rcwales_48,Repair Cafe Wales,GBR,Electrical ~ Lamp,Lamp,15,Unknown,"","",Fixed,"",Cardiff Cathays,2017-05-01,Lamp Not working - suspect needs bulb changing but canâ€[emoji]t get out
rcwales_49,Repair Cafe Wales,GBR,Electrical ~ Toaster,Toaster,31,Unknown,"","",Unknown,"",Cardiff Cathays,2017-05-01,Toaster One toaster side doesn't work
rcwales_51,Repair Cafe Wales,GBR,Electrical ~ Hair Straightners,Hair & beauty item,9,Unknown,"","",Fixed,"",Cardiff Cathays,2017-05-01,Hair Straightners
rcwales_53,Repair Cafe Wales,GBR,Electrical ~ Lawnmower,Large home electrical,17,Unknown,"","",Fixed,"",Cardiff Cathays,2017-05-01,Lawnmower Cut through cable
rcwales_54,Repair Cafe Wales,GBR,Electrical ~ Drill,Power tool,24,Unknown,"","",Fixed,"",Cardiff Cathays,2017-05-01,Drill Not working
rcwales_58,Repair Cafe Wales,GBR,Electrical ~ Drill,Power tool,24,Unknown,"","",Fixed,"",Cardiff Cathays,2017-05-01,Drill stopped working
rcwales_59,Repair Cafe Wales,GBR,Electrical ~ lamp base,Lamp,15,Unknown,"","",Fixed,"",Cardiff Cathays,2017-05-01,lamp base Adjust
rcwales_65,Repair Cafe Wales,GBR,Electrical ~ CD/Radio/Tape player,Hi-Fi separates,13,Unknown,"","",End of life,"",Cardiff Cathays,2017-05-01,CD/Radio/Tape player CD does not play
rcwales_66,Repair Cafe Wales,GBR,Electrical ~ Turntable,Hi-Fi separates,13,Unknown,"","",Unknown,"",Cardiff Cathays,2017-05-01,Turntable Inoperable
rcwales_67,Repair Cafe Wales,GBR,Electrical,Small home electrical,28,Unknown,"","",Unknown,"",Cardiff Cathays,2017-05-01,Stops working intermittently
rcwales_69,Repair Cafe Wales,GBR,IT/Phone ~ Laptop,Laptop,16,Unknown,"","",Repairable,"",Cardiff Cathays,2017-06-01,Laptop Slow
rcwales_70,Repair Cafe Wales,GBR,Electrical ~ Hedge Trimmer,Power tool,24,Unknown,"","",Fixed,"",Cardiff Cathays,2017-06-01,Hedge Trimmer
rcwales_71,Repair Cafe Wales,GBR,Electrical ~ Hair Dryer,Hair dryer,39,Unknown,"","",Fixed,"",Cardiff Cathays,2017-06-01,Hair Dryer
rcwales_72,Repair Cafe Wales,GBR,Electrical ~ Glue Gun,Power tool,24,Unknown,"","",Repairable,"",Cardiff Cathays,2017-06-01,Glue Gun
rcwales_75,Repair Cafe Wales,GBR,Clock ~ Clock,Watch/clock,35,Unknown,"","",Fixed,"",Cardiff Cathays,2017-06-01,Clock
rcwales_76,Repair Cafe Wales,GBR,Electrical ~ Straightners,Hair & beauty item,9,Unknown,"","",Repairable,"",Cardiff Cathays,2017-06-01,"Straightners Lose wire needed soldering, however dropped en route, so may not be able to fix plastic - two wires need fusing"
rcwales_77,Repair Cafe Wales,GBR,Electrical ~ Steamer,Small home electrical,28,Unknown,"","",End of life,"",Cardiff Cathays,2017-06-01,Steamer Keeps fusing electrics
rcwales_79,Repair Cafe Wales,GBR,Electrical ~ electric razor,Hair & beauty item,9,Unknown,"","",Fixed,"",Cardiff Cathays,2017-06-01,electric razor Plastic piece broken in head
rcwales_82,Repair Cafe Wales,GBR,Electrical ~ Extention cable,Battery/charger/adapter,2,Unknown,"","",Fixed,"",Cardiff Cathays,2017-06-01,Extention cable Intermittent problem
rcwales_84,Repair Cafe Wales,GBR,Electrical,Small home electrical,28,Unknown,"","",Fixed,"",Cardiff Cathays,2017-06-01,""
rcwales_89,Repair Cafe Wales,GBR,IT/Phone ~ Printer,Printer/scanner,25,Unknown,"","",End of life,"",Cardiff Cathays,2017-06-01,Printer Printer head?
rcwales_90,Repair Cafe Wales,GBR,IT/Phone ~ Computer,Desktop computer,4,Unknown,"","",Unknown,"",Cardiff Cathays,2017-06-01,"Computer Brain keeps searching for other options and wont stick to one. CD, radios needed!"
rcwales_91,Repair Cafe Wales,GBR,IT/Phone ~ Laptop,Laptop,16,Unknown,"","",Repairable,"",Cardiff Cathays,2017-06-01,Laptop screen/will not turn on but power ok
rcwales_92,Repair Cafe Wales,GBR,IT/Phone ~ IT,PC accessory,22,Unknown,"","",Unknown,"",Cardiff Cathays,2017-06-01,IT Lost music files
rcwales_94,Repair Cafe Wales,GBR,Electrical ~ Music Centre,Hi-Fi integrated,12,Unknown,"","",Fixed,"",Cardiff Cathays,2017-06-01,Music Centre Not Functioning
rcwales_95,Repair Cafe Wales,GBR,Electrical ~ Kettle,Kettle,14,Unknown,"","",Unknown,"",Cardiff Cathays,2017-06-01,Kettle Stopped working
rcwales_99,Repair Cafe Wales,GBR,Electrical ~ Drill: Charger / Battery 12 volt,Power tool,24,Unknown,"","",Unknown,"",Cardiff Cathays,2017-06-01,Drill: Charger / Battery 12 volt
rcwales_102,Repair Cafe Wales,GBR,Other ~ Guitar Pedal,Small home electrical,28,Unknown,"","",Fixed,"",Cardiff Cathays,2017-08-01,Guitar Pedal Soldering needed
rcwales_103,Repair Cafe Wales,GBR,_UA,Misc,18,Unknown,"","",Unknown,"",Cardiff Cathays,2017-08-01,""
rcwales_106,Repair Cafe Wales,GBR,_UA,Misc,18,Unknown,"","",Unknown,"",Cardiff Cathays,2017-08-01,""
rcwales_107,Repair Cafe Wales,GBR,Electrical ~ Sewing machine,Sewing machine,27,Unknown,"","",Unknown,"",Cardiff Cathays,2017-08-01,Sewing machine on/off button broken
rcwales_108,Repair Cafe Wales,GBR,Electrical ~ Radio,Portable radio,23,Unknown,"","",Fixed,"",Cardiff Cathays,2017-08-01,Radio Power keeps shorting / disconnecting
rcwales_109,Repair Cafe Wales,GBR,Electrical ~ vacuum cleaner,Vacuum,34,Unknown,"","",Fixed,"",Cardiff Cathays,2017-08-01,vacuum cleaner loose wire
rcwales_110,Repair Cafe Wales,GBR,Electrical ~ vacuum cleaner,Vacuum,34,Unknown,"","",Fixed,"",Cardiff Cathays,2017-08-01,vacuum cleaner cuts out when used
rcwales_111,Repair Cafe Wales,GBR,Electrical ~ radio,Portable radio,23,Unknown,"","",Unknown,"",Cardiff Cathays,2017-08-01,radio doesn't work
rcwales_112,Repair Cafe Wales,GBR,Electrical ~ radio,Portable radio,23,Unknown,"","",Unknown,"",Cardiff Cathays,2017-08-01,radio doesn't work
rcwales_113,Repair Cafe Wales,GBR,Electrical ~ radio,Portable radio,23,Unknown,"","",Unknown,"",Cardiff Cathays,2017-08-01,radio doesn't work
rcwales_116,Repair Cafe Wales,GBR,Other ~ Shredder,Paper shredder,21,Unknown,"","",Fixed,"",Cardiff Cathays,2017-08-01,Shredder Blocked
rcwales_117,Repair Cafe Wales,GBR,Other ~ Standing Lamp,Lamp,15,Unknown,"","",Fixed,"",Cardiff Cathays,2017-08-01,Standing Lamp
rcwales_118,Repair Cafe Wales,GBR,Other ~ Standing Lamp,Lamp,15,Unknown,"","",Fixed,"",Cardiff Cathays,2017-08-01,Standing Lamp
rcwales_119,Repair Cafe Wales,GBR,Other ~ Standing Lamp,Lamp,15,Unknown,"","",Fixed,"",Cardiff Cathays,2017-08-01,Standing Lamp
