id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
repconn_1,Repair Connects,BEL,Aircon/dehumidifier,Aircon/dehumidifier,1,Delonghi,"","",End of life,Repair information not available,Maakbaar Leuven,2022-03-10,"Toestel start niet meer op, filters werden reeds leeggemaakt"
repconn_2,Repair Connects,NLD,Aircon/dehumidifier,Aircon/dehumidifier,1,DeLonghi,2006,15,End of life,Lack of equipment,Foenix Repair Café Apeldoorn,2021-08-02,"Alles functioneert, echter het vermogen om te koelen (temparatuur koude lucht output) is laag. Ik heb zelf het idee, dat het iets te maken heeft met de koelvloeistof, bijvullen of iets dergelijks."
repconn_3,Repair Connects,BEL,Aircon/dehumidifier,Aircon/dehumidifier,1,Profile,"","",Fixed,"",Maakbaar Leuven,2022-11-16,stekker kapot
repconn_4,Repair Connects,BEL,Aircon/dehumidifier,Aircon/dehumidifier,1,qlima,"","",Repairable,"",Repair Café Gent,2023-01-16,Het toestel geeft telkens een kortsluiting als het in het stopcontact zit
repconn_5,Repair Connects,BEL,Aircon/dehumidifier,Aircon/dehumidifier,1,Stadler form,"","",Fixed,"",Maakbaar Leuven,2022-10-08,"Wasn't used for a few months, then just didn't turn on anymore"
repconn_6,Repair Connects,NLD,Aircon/dehumidifier,Aircon/dehumidifier,1,Stadler Form,2021,1,Fixed,"",Foenix Repair Café Apeldoorn,2022-11-18,Na de zomer wilde ik de luchtbevochtiger weer aanzetten en terwijl ik de stekker in het stopcontact steek hoor ik een knalletje in het apparaat en dat was het einde
repconn_7,Repair Connects,BEL,Aircon/dehumidifier,Aircon/dehumidifier,1,Okoia,2021,1,End of life,Spare parts not available,Maakbaar Leuven,2022-05-11,"Vorig jaar in het najaar het toestel aangekocht, volgens mij is er water aan de stekker gekomen want toen ik hem instak, maakte het toestel een kortsluiting. Sindsdien werkt hij niet meer en branden er ook geen lichtjes meer"
repconn_8,Repair Connects,CHE,Aircon/dehumidifier,Aircon/dehumidifier,1,FRAL,2012,10,Repairable,"",Repair Café Frauenfeld,2022-11-14,"Gerät entfeuchtet nicht mehr. Lüfter läuft noch. Pumpe schaltet auch ein, aber es gibt kein Kondenswasser. Vermutlich keine Flüssigkeit mehr im Kreislauf oder Pumpe undicht.\r\nDer Entfeuchter hat knapp 6700 Betriebsstunden"
repconn_9,Repair Connects,BEL,Aircon/dehumidifier,Aircon/dehumidifier,1,Domo,2006,16,Repairable,"",Maakbaar Leuven,2022-04-09,"De ontvochtiger werkte tot voor kort normaal: na een 12-tal uur zat het reservoir van 5L vol. De ontvochtiger geeft dan de melding 'full' aan, waarna die stilvalt en er een alarm weerklinkt. Nu geeft het toestel wanneer het aangezet wordt meteen 'full' aan, ongeacht de modus en stopt het toestel dus weer meteen met 'draaien' – ook al is het reservoir helemaal leeg en droog."
repconn_10,Repair Connects,BEL,Aircon/dehumidifier,Aircon/dehumidifier,1,Eurom,"","",Fixed,"",Maakbaar Leuven,2022-12-10,Plots rook en uitval toestel
repconn_11,Repair Connects,BEL,Aircon/dehumidifier,Aircon/dehumidifier,1,Eban,"","",Fixed,"",Repair Café Roeselare,2022-04-04,Valt na verloop van tijd uit
repconn_12,Repair Connects,NLD,Aircon/dehumidifier,Aircon/dehumidifier,1,pinguin,"","",Fixed,"",Foenix Repair Café Apeldoorn,2021-08-30,stuk
repconn_13,Repair Connects,BEL,Aircon/dehumidifier,Aircon/dehumidifier,1,Delonghi,"","",Fixed,"",Maakbaar Leuven,2021-06-27,Vermoedelijk een lek waardoor het coolgas ontsnapt.
repconn_14,Repair Connects,NLD,Aircon/dehumidifier,Aircon/dehumidifier,1,Trotec,"","",Fixed,"",Foenix Repair Café Apeldoorn,2022-08-24,"De ontvochtiger was continu in bedrijf in onze kelder totdat het apparaat plotseling stopte met werken. Geen foutmelding, geen signaal, herstart is ook niet gelukt. Dus zou iets met voeding kunnen zijn."
repconn_15,Repair Connects,BEL,Handheld entertainment device,Handheld entertainment device,10,JBL,2019,3,Repairable,"",Repair Café Gent,2022-03-27,De aansluiting werkt niet - lipje zit scheef.
repconn_16,Repair Connects,BEL,Handheld entertainment device,Handheld entertainment device,10,ENVIVO,2020,1,Fixed,"",Repair Café Gent,2021-09-14,"Toestel reageert niet bij indrukken van power button. Toestel heeft interne batterij en dient opgeladen te worden via 5V DC adapter. Mij lijkt het dat ofwel batterij niet meer oplaad, ofwel er een issue is met power knop."
repconn_17,Repair Connects,BEL,Handheld entertainment device,Handheld entertainment device,10,dr who’s,2021,1,Repairable,"",Maakbaar Leuven,2022-12-09,het toestel deed het perfect maar waarschijnlijk slecht contact ter hoogte van de fiche maar dan in het toestel. het defect ligt niet zan de kabel want getest met een andere motionciser kabel en ook dan werkt hij niet meer
repconn_18,Repair Connects,BEL,Handheld entertainment device,Handheld entertainment device,10,Marshall,2019,3,Repairable,"",Repair Café Gent,2022-12-06,Connectie via Bluetooth hapert: even wel dan weer geen connectie. Verschillende mobiele tel geprobeerd.
repconn_19,Repair Connects,BEL,Handheld entertainment device,Handheld entertainment device,10,MP4 8B,"","",End of life,Spare parts not available,Repair Café Roeselare,2022-03-25,Speelt maar op 1 kanaal / slecht contact
repconn_20,Repair Connects,BEL,Handheld entertainment device,Handheld entertainment device,10,Asus,2020,2,End of life,Spare parts too expensive,Maakbaar Leuven,2022-09-08,De plugin om het kabeltje te pluggen zit los. Soms lukt het om het lis in te pluggen maar dan werkt de dvdspeler niet. Er zit nog een dvd van de bib in.
