id,data_provider,product_category,brand,year_of_manufacture,repair_status,group_identifier,date,problem,,,
restart_757,The Restart Project,Laptop medium,Toshiba,????,Repairable,Restart HQ,2013-06-19,Laptop - Won't boot -,,,
restart_758,The Restart Project,Hi-Fi separates,Unknown,????,Fixed,Restart HQ,2013-06-19,"Radio - Buzzing, cutting out -",,,
restart_759,The Restart Project,Hi-Fi separates,Unknown,????,Fixed,Restart HQ,2013-06-19,CD player - No sound -,,,
restart_760,The Restart Project,TV and gaming-related accessories,Unknown,????,End of life,Restart HQ,2013-06-19,DVD player - No sound -,,,
restart_761,The Restart Project,Handheld entertainment device,Apple,????,Fixed,Restart HQ,2013-06-19,Mp3 player - No power -,,,
restart_762,The Restart Project,Mobile,Apple,????,Repairable,Restart HQ,2013-06-19,Mobile - Mic problem - Tried cardboard hack and failed,,,
restart_763,The Restart Project,Laptop medium,Acer,????,End of life,Restart HQ,2013-06-19,Laptop - No power -,,,
restart_764,The Restart Project,"Flat screen 22-24""",Apple,????,End of life,Restart HQ,2013-06-19,Monitor - No picture - Likely the backlight,,,
restart_765,The Restart Project,Lamp,Unknown,????,End of life,Restart HQ,2013-06-19,Lamp - No light - No time,,,
restart_766,The Restart Project,PC Accessory,Apple,????,End of life,Restart HQ,2013-07-06,Keyboard - Faulty keys - Much photographed,,,
restart_767,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2013-07-06,Mouse charger - Ã¢â‚¬Å“BlewÃ¢â‚¬ï† -,,,
restart_768,The Restart Project,TV and gaming-related accessories,Unknown,????,Fixed,Restart HQ,2013-07-06,Portable DVD player - Drive broken -,,,
restart_769,The Restart Project,Mobile,Samsung,????,Fixed,Restart HQ,2013-07-06,Mobile - Configuration problem -,,,
restart_770,The Restart Project,Vacuum,Unknown,????,End of life,Restart HQ,2013-07-06,Hoover - Overheats -,,,
restart_771,The Restart Project,TV and gaming-related accessories,Unknown,????,Repairable,Restart HQ,2013-07-06,Freeview box - Gets no power -,,,
restart_772,The Restart Project,Digital Compact Camera,Sony,????,End of life,Restart HQ,2013-07-06,Camera - Screen issue -,,,
restart_773,The Restart Project,Laptop medium,Unknown,????,Repairable,Restart HQ,2013-07-06,Laptop - Won't boot -,,,
restart_774,The Restart Project,Hi-Fi separates,Yamaha,????,Fixed,Restart HQ,2013-07-06,Musical keyboard - Gets no power -,,,
restart_775,The Restart Project,Mobile,Samsung,????,End of life,Restart HQ,2013-07-06,Mobile - -,,,
restart_776,The Restart Project,Portable radio,Sony,????,Unknown,Restart HQ,2013-07-06,Radio - -,,,
restart_777,The Restart Project,Desktop computer,Unknown,????,Fixed,Restart HQ,2013-07-06,Desktop computer - -,,,
restart_778,The Restart Project,Laptop medium,Sony,????,End of life,Restart HQ,2013-07-06,Laptop - Screen issue -,,,
