id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
restart_28,"The Restart Project",GBR,"Laptop medium",Laptop,16,Toshiba,,,Repairable,,"Restart HQ",2013-06-19,"Laptop - Won't boot -"
restart_29,"The Restart Project",GBR,"Hi-Fi separates ~ Radio/cassette player","Hi-Fi separates",13,Unknown,,,Fixed,,"Restart HQ",2013-06-19,"Radio - Buzzing, cutting out -"
restart_30,"The Restart Project",GBR,"Hi-Fi separates ~ CD player","Hi-Fi separates",13,Unknown,,,Fixed,,"Restart HQ",2013-06-19,"CD player - No sound -"
restart_31,"The Restart Project",GBR,"TV and gaming-related accessories ~ DVD/CD player","TV and gaming-related accessories",33,Unknown,,,"End of life",,"Restart HQ",2013-06-19,"DVD player - No sound -"
restart_32,"The Restart Project",GBR,"Handheld entertainment device ~ MP3 player","Handheld entertainment device",10,Apple,,,Fixed,,"Restart HQ",2013-06-19,"Mp3 player - No power -"
restart_33,"The Restart Project",GBR,Mobile,Mobile,19,Apple,,,Repairable,,"Restart HQ",2013-06-19,"Mobile - Mic problem - Tried cardboard hack and failed"
restart_34,"The Restart Project",GBR,"Laptop medium",Laptop,16,Acer,,,"End of life",,"Restart HQ",2013-06-19,"Laptop - No power -"
restart_35,"The Restart Project",GBR,"Flat screen 22-24""","Flat screen",8,Apple,,,"End of life",,"Restart HQ",2013-06-19,"Monitor - No picture - Likely the backlight"
restart_36,"The Restart Project",GBR,Lamp,Lamp,15,Unknown,,,"End of life",,"Restart HQ",2013-06-19,"Lamp - No light - No time"
restart_37,"The Restart Project",GBR,"PC accessory ~ Keyboard","PC accessory",22,Apple,,,"End of life",,"Restart HQ",2013-07-06,"Keyboard - Faulty keys - Much photographed"
restart_38,"The Restart Project",GBR,"PC accessory ~ Charger","PC accessory",22,Unknown,,,"End of life",,"Restart HQ",2013-07-06,"Mouse charger - â€œBlewâ€ -"
restart_39,"The Restart Project",GBR,"TV and gaming-related accessories ~ DVD/CD player","TV and gaming-related accessories",33,Unknown,,,Fixed,,"Restart HQ",2013-07-06,"Portable DVD player - Drive broken -"
restart_40,"The Restart Project",GBR,Mobile,Mobile,19,Samsung,,,Fixed,,"Restart HQ",2013-07-06,"Mobile - Configuration problem -"
restart_41,"The Restart Project",GBR,Vacuum,Vacuum,34,Unknown,,,"End of life",,"Restart HQ",2013-07-06,"Hoover - Overheats -"
restart_42,"The Restart Project",GBR,"TV and gaming-related accessories ~ Set-top box","TV and gaming-related accessories",33,Unknown,,,Repairable,,"Restart HQ",2013-07-06,"Freeview box - Gets no power -"
restart_43,"The Restart Project",GBR,"Digital compact camera","Digital compact camera",5,Sony,,,"End of life",,"Restart HQ",2013-07-06,"Camera - Screen issue -"
restart_44,"The Restart Project",GBR,"Laptop medium",Laptop,16,Unknown,,,Repairable,,"Restart HQ",2013-07-06,"Laptop - Won't boot -"
