id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
anstiftung_1,Anstiftung,DEU,German,Portable radio,Unknown,Unknown,????,Repairable,repair-cafe-schwabing,2019-09-01,Display geht nicht. Genau Ursache unklar.
anstiftung_2,Anstiftung,DEU,German,Portable radio,Sony,Unknown,????,Fixed,repair-cafe-schwabing,2019-09-01,Tonlagenschalter hatte einen Wackelkontakt und wurde mit Kontaktspray behoben.
anstiftung_4,Anstiftung,DEU,German,Kettle,Unknown,Unknown,????,Fixed,repair-cafe-schwabing,2019-09-01,Schalter ist aus der Halterung gesprungen und wurde wieder eingerastet.
anstiftung_5,Anstiftung,DEU,German,Flat screen,Hisense,Unknown,????,Fixed,repair-cafe-schwabing,2019-09-01,Antennenbuchse abgebrochen und angelötet
anstiftung_6,Anstiftung,DEU,German,Hi-Fi separates,Unknown,Unknown,????,Fixed,repair-cafe-schwabing,2019-09-01,Kabelbruch am Tonkabel
anstiftung_7,Anstiftung,DEU,German,Small kitchen item,Scaleman,Unknown,????,Unknown,repair-cafe-schwabing,2019-09-01,Funktioniert nicht mehr
anstiftung_9,Anstiftung,DEU,German,Battery/charger/adapter,Unknown,Unknown,????,Repairable,repair-cafe-schwabing,2019-09-01,"Wackelkontakt, leicht verbessert."
anstiftung_10,Anstiftung,DEU,German,Lamp,Unknown,Unknown,????,Fixed,repair-cafe-schwabing,2019-09-01,Eine Birne defekt. Birnen sind in Reihe geschaltet und mussen beide heil sein.
anstiftung_11,Anstiftung,DEU,German,Small home electrical,Unknown,Unknown,????,Fixed,repair-cafe-schwabing,2019-09-01,Klingel defekt
anstiftung_12,Anstiftung,DEU,German,Vacuum,Dirt Devil,Unknown,????,Fixed,repair-cafe-schwabing,2019-09-01,Netzschalter getauscht
anstiftung_13,Anstiftung,DEU,German,Toaster,Russell Hobbs,Unknown,????,Fixed,repair-cafe-schwabing,2019-09-01,Transistor defekt.
anstiftung_14,Anstiftung,DEU,German,TV and gaming-related accessories,Yamaha,Unknown,2011,Fixed,repair-cafe-schwabing,2019-09-01,Lautstärkeregler Poti Keyboard defekt
