id,data_provider,country,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
anstiftung_1,anstiftung,DEU,"Sewing machine",Unknown,Nähmaschine,????,Repairable,5073,2012-06-20,"Funktionierte nicht mehr. Fehler und Lösung nicht dokumentiert."
anstiftung_2,anstiftung,DEU,Laptop,Unknown,Laptop,????,Repairable,5073,2012-06-20,"Wurde schnell heiß.Der Lüfter war sehr verschmutzt, wurde gereinigt.Das nächste Mal müssen wir nochmal mit Druckluft ran."
anstiftung_3,anstiftung,DEU,Printer/scanner,Unknown,Laserdrucker,????,Fixed,5073,2012-06-20,"Funktionierte nicht mehr. Fehler und Lösung nicht dokumentiert."
anstiftung_4,anstiftung,DEU,Headphones,Unknown,Kopfhörer,????,Fixed,5073,2012-06-20,"Funktionierte nicht mehr. Fehler und Lösung nicht dokumentiert."
anstiftung_6,anstiftung,DEU,Toy,Unknown,Puppe,????,Fixed,5073,2012-09-19,"Die Beine der Puppe waren ab.Sie waren mit Fäden an der Hüfte befestigt, damit sie sich auf drehen konnten. Die Fäden waren gerissen.Wir erneuerten sie."
anstiftung_8,anstiftung,DEU,Toy,Unknown,Aufziehauto,????,Fixed,5073,2012-09-19,"Funktionierte nicht mehr. Fehler und Lösung nicht dokumentiert."
anstiftung_11,anstiftung,DEU,Mobile,Unknown,Handy,????,Fixed,5073,2012-10-17,"Die Tastatur war defekt. Wir haben aus Zweien eines funktionierendes gemacht."
anstiftung_13,anstiftung,DEU,Toaster,Unknown,Toaster,????,Fixed,5073,2012-10-17,"Funktionierte nicht mehr. Lösung nicht dokumentiert."
anstiftung_14,anstiftung,DEU,"Small home electrical",Unknown,Verlängerunskabel,????,Fixed,5073,2012-10-17,"Es hatte einen Kabelbruch am Stecker, wir brachten einen neuen an."
anstiftung_15,anstiftung,DEU,Printer/scanner,Unknown,Tintenstrahldrucker,????,Fixed,5073,2013-09-04,"Funktionierte nicht mehr. Lösung nicht dokumentiert."
anstiftung_16,anstiftung,DEU,"Hair & Beauty item",Unknown,Pedikürgerät,????,Fixed,5073,2013-09-04,"Funktionierte nicht mehr. Lösung nicht dokumentiert."
anstiftung_17,anstiftung,DEU,"Hi-Fi separates",Unknown,Verstärker,????,Fixed,5073,2013-09-04,"Funktionierte nicht mehr. Lösung nicht dokumentiert."
anstiftung_18,anstiftung,DEU,"Hi-Fi integrated",Unknown,"Anlage mit CD-Player",2003,Unknown,5073,2013-09-04,"CD-Player ging nicht."
anstiftung_19,anstiftung,DEU,Printer/scanner,Unknown,Drucker-Scanner-Kombigerät,????,"End of life",5073,2014-09-17,"Er druckte leider nicht mehr.Nach einigen Reparaturversuchen durch Rücksetzten des Fehlers und Ausbau und Reinigung des Druckkopfes mussten wir leider feststellen, dass das Gerät ohne einen neuen Druckkopf (leider sehr teuer) nur noch ein Scanner bleiben wird."
anstiftung_20,anstiftung,DEU,Laptop,Unknown,Laptop,????,Fixed,5073,2014-09-17,"An einem virenverseuchten Notebook, das beim letzten RepairCafé schon da war, wurde weitergearbeitet und letztendlich von der Seuche befreit."
anstiftung_21,anstiftung,DEU,Laptop,Unknown,Notebook-Netzteil,????,Fixed,5073,2014-09-17,"Funktionierte nicht mehr.Der Kabelbruch behoben werden und es verrichtet wieder seinen Dienst."
anstiftung_22,anstiftung,DEU,"Small home electrical",Unknown,Strickmaschine,????,Repairable,5073,2014-10-09,"Hier lag ein mechanisches Problem am Maschenzähler vor, das nicht sofort behoben werden konnte. Dafür muss erst ein Ersatzteil aus Federstahl gebastelt werden."
anstiftung_23,anstiftung,DEU,"Small home electrical",Unknown,Laminiergerät,????,Fixed,5073,2014-10-09,"Es wurde nicht mehr heiß.Wir konnten es durch Auswechseln der mitgebrachten Temperatursicherung wieder in Gang setzen."
anstiftung_24,anstiftung,DEU,"PC Accessory",Unknown,PS2-Maus,????,Unknown,5073,2014-10-09,"Einer defekten PS2-Maus war leider nicht mehr zu helfen, es fand sich aber in einer Wühlkiste eine Austauschgerät."
anstiftung_25,anstiftung,DEU,Headphones,Unknown,Kopfhörer,????,"End of life",5073,2014-10-15,"Er musste leider „beerdigt“ werden, weil nicht der vermutete Bruch im Kabel, sondern ein Defekt in der Wicklung des Wandlers in der Hörmuschel vorlag. Da ist ohne Originalteil leider nichts zu machen."
anstiftung_26,anstiftung,DEU,"TV and gaming-related accessories",Unknown,DVD-Player,????,Fixed,5073,2014-10-15,"DVDs drehten sich nicht mehr.Der Player war mechanisch blockiert. Das konnte gelöst werden und er verrichtet wieder seinen Dienst."
anstiftung_27,anstiftung,DEU,"Small kitchen item",Unknown,Handrührgerät,????,Fixed,5073,2014-10-15,"Er lief nicht mehr rund. Im Getriebe war der Antrieb für einen Rührstab zwei Zähne übergesprungen und die Stäbe liefen nicht mehr synchron, d. h. sie schlugen aneinander. Nach der Demontage wurde das Getriebe wieder eingestellt und geschmiert - so läuft er jetzt auch wieder."
anstiftung_28,anstiftung,DEU,Headphones,Unknown,Kopfhörer,????,Fixed,5073,2014-10-15,"Er hatte Aussetzer.Das kam von einem Kabelbruch. Ein neuer Stecker wurde unter Anleitung vom Besitzer selbst angelötet (es war sein erstes Mal!)."
anstiftung_30,anstiftung,DEU,"Small home electrical",Unknown,Steckdosenleiste,????,Fixed,5073,2014-10-15,"Der Schalter funktionierte nicht mehr.Er wurde erfolgreich ausgetauscht."
anstiftung_31,anstiftung,DEU,"Power tool",Unknown,"Ladegerät für einen Akkuschrauber",????,Fixed,5073,2014-10-15,"Das Ladegerät lud die Akkus nicht mehr auf.Die Filterspulen mussten neu angelötet werden."
anstiftung_32,anstiftung,DEU,Mobile,Nokia,Slider-Handy,????,Fixed,5073,2014-10-15,"Es zeigte nichts mehr an. Der vermutete Bruch des flexiblen Kabels zwischen beiden Hälften war nicht das Problem, das wieder angesteckte Kabel behob den Defekt."
anstiftung_33,anstiftung,DEU,"Handheld entertainment device",Unknown,MP3-Player,????,"End of life",5073,2014-10-25,"Funktionierte nicht mehr.Ein nötiges Ersatzteil ist leider nicht zu bekommen."
anstiftung_35,anstiftung,DEU,"Hair & Beauty item",Unknown,Haarföhn,????,Repairable,5073,2014-11-06,"Er föhnte nur noch mäßig und nur heiß, obwohl er auch kalt können soll.Das Zerlegen verlangte uns einiges an Geduld ab, sodass für die eigentliche Fehlersuche nicht mehr viel Zeit blieb. Bei diesem Kandidaten heißt es „Fortsetzung folgt …“."
