id,data_provider,country,partner_product_category,product_category,brand,year_of_manufacture,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
anstiftung_1,anstiftung,DEU,"Elektro Sonstiges ~ Bohrmaschine","Power tool",Unknown,????,Unknown,,5457,2017-02-25,?
anstiftung_2,anstiftung,DEU,"Elektro Sonstiges ~ Spielzeug",Toy,Playmobil,????,Unknown,,5457,2017-02-25,"Funktioniert nicht mehr"
anstiftung_3,anstiftung,DEU,"Elektro Sonstiges ~ Fön","Hair dryer",Unknown,????,Fixed,,5457,2017-02-25,"lief nicht mehr"
anstiftung_4,anstiftung,DEU,"Elektro Sonstiges ~ Taschenlampe","Decorative or safety lights",Unknown,????,Fixed,,5457,2017-02-25,"Batterie steckte in Taschenlampe fest"
anstiftung_5,anstiftung,DEU,"Elektro Sonstiges ~ Lampe",Lamp,Unknown,????,Fixed,,5457,2017-02-25,"musste gelötet werden..."
anstiftung_6,anstiftung,DEU,"Unterhaltungselektronik ~ Radio","Portable radio",Unknown,????,Unknown,,5457,2017-02-25,"Lautstärkeregler funktionierte nicht mehr"
anstiftung_7,anstiftung,DEU,"Unterhaltungselektronik ~ CD-Player","Handheld entertainment device",Unknown,????,Unknown,,5457,2017-02-25,"Schublade hängt"
anstiftung_8,anstiftung,DEU,"Haushaltsgeräte ~ Handmixer","Food processor",Krups,????,Fixed,,5457,2017-02-25,"Rührbesen klemmt nicht in der Halterung"
anstiftung_9,anstiftung,DEU,"Unterhaltungselektronik ~ CD-Player","Handheld entertainment device",Unknown,????,Repairable,,5457,2017-02-25,???
anstiftung_10,anstiftung,DEU,"Elektro Sonstiges ~ Venenwalker","Small home electrical",Unknown,????,Fixed,,5457,2017-02-25,"Geht nicht mehr..."
anstiftung_11,anstiftung,DEU,"Elektro Sonstiges ~ Heckenschere","Power tool",Unknown,????,Fixed,,5457,2017-02-25,"Ging nicht mehr..."
anstiftung_12,anstiftung,DEU,"Elektro Sonstiges ~ Elektrorasierer","Hair & beauty item",Unknown,????,Repairable,,5457,2017-02-25,"Ging nicht mehr"
anstiftung_14,anstiftung,DEU,"Elektro Sonstiges ~ Fön","Hair dryer",Unknown,????,Fixed,,5457,2017-03-25,"ging nicht mehr..."
anstiftung_17,anstiftung,DEU,"Elektro Sonstiges ~ Sonstiges",Misc,Unknown,????,Unknown,,5457,2017-03-25,???
anstiftung_18,anstiftung,DEU,"Elektro Sonstiges ~ Nähmaschine","Sewing machine",Unknown,????,Fixed,,5457,2017-03-25,???
anstiftung_19,anstiftung,DEU,"Haushaltsgeräte ~ Uhr",Watch/clock,Unknown,????,Fixed,,5457,2017-03-25,???
anstiftung_20,anstiftung,DEU,"Elektro Sonstiges ~ Sonstiges",Misc,Unknown,????,Repairable,,5457,2017-03-25,???
anstiftung_21,anstiftung,DEU,"Unterhaltungselektronik ~ Plattenspieler","Hi-Fi separates",Unknown,????,Repairable,,5457,2017-03-25,"Antriebsriemen kaputt"
anstiftung_22,anstiftung,DEU,"Computer ~ Desktopcomputer","Desktop computer",Unknown,????,Fixed,,5457,2017-03-25,???
anstiftung_23,anstiftung,DEU,"Elektro Sonstiges ~ Nähmaschine","Sewing machine",Unknown,????,Fixed,,5457,2017-04-22,"nicht mehr gangbar..."
anstiftung_24,anstiftung,DEU,"Unterhaltungselektronik ~ Lautsprecher(boxen)","Hi-Fi separates",Unknown,????,Repairable,,5457,2017-04-22,???
