id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
anstiftung_2746,anstiftung,DEU,"Computer ~ Drucker",Printer/scanner,25,Unknown,,,Fixed,,5073,2012-06-20,"Funktionierte nicht mehr. Fehler und Lösung nicht dokumentiert."
anstiftung_2747,anstiftung,DEU,"Unterhaltungselektronik ~ Kopfhörer",Headphones,11,Unknown,,,Fixed,,5073,2012-06-20,"Funktionierte nicht mehr. Fehler und Lösung nicht dokumentiert."
anstiftung_2750,anstiftung,DEU,"Computer ~ Laptop",Laptop,16,Unknown,,,Repairable,,5073,2012-06-20,"Wurde schnell heiß. Der Lüfter war sehr verschmutzt, wurde gereinigt. Das nächste Mal müssen wir nochmal mit Druckluft ran."
anstiftung_2749,anstiftung,DEU,"Elektro divers ~ Nähmaschine","Sewing machine",27,Unknown,,,Repairable,,5073,2012-06-20,"Funktionierte nicht mehr. Fehler und Lösung nicht dokumentiert."
anstiftung_2742,anstiftung,DEU,"Haushaltsgeräte ~ Spielzeug",Toy,32,Unknown,,,Fixed,,5073,2012-09-19,"Die Beine der Puppe waren ab. Sie waren mit Fäden an der Hüfte befestigt, damit sie sich auf drehen konnten. Die Fäden waren gerissen. Wir erneuerten sie."
anstiftung_2744,anstiftung,DEU,"Haushaltsgeräte ~ Spielzeug",Toy,32,Unknown,,,Fixed,,5073,2012-09-19,"Funktionierte nicht mehr. Fehler und Lösung nicht dokumentiert."
anstiftung_2741,anstiftung,DEU,"Elektro divers ~ Steckdosenleiste","Small home electrical",28,Unknown,,,Fixed,,5073,2012-10-17,"Es hatte einen Kabelbruch am Stecker, wir brachten einen neuen an."
anstiftung_2740,anstiftung,DEU,"Haushaltsgeräte ~ Toaster",Toaster,31,Unknown,,,Fixed,,5073,2012-10-17,"Funktionierte nicht mehr. Lösung nicht dokumentiert."
anstiftung_2738,anstiftung,DEU,"Smartphone/Tablet ~ Mobiltelefon",Mobile,19,Unknown,,,Fixed,,5073,2012-10-17,"Die Tastatur war defekt. Wir haben aus Zweien eines funktionierendes gemacht."
anstiftung_2733,anstiftung,DEU,"Computer ~ Drucker",Printer/scanner,25,Unknown,,,Fixed,,5073,2013-09-04,"Funktionierte nicht mehr. Lösung nicht dokumentiert."
