id_ords,data_provider,country,step_barrier_id,step_barrier,product_category,brand,repair_status,year_of_manufacture,event_date,language,problem
anstiftung_3052,anstiftung,DEU,1,Battery is not the main problem,Mobile,Samson,Repairable,????,2019-06-19,de,"Gerät lässt sich nicht laden, da die USB-Buchse defekt ist.Buchse getauscht, Gerät lädt wieder. Display blitz kurz auf, bleibt aber ansonsten dunkel. Es vibriert auch beim Einschalten -> Display defekt"
anstiftung_3372,anstiftung,DEU,1,Battery is not the main problem,Power tool,Bosch,Repairable,2016,2019-07-04,de,"Nicht helfen konnten wir einem Bosch „PSR 14,4 LI-2“ Akkubohrschrauber, dessen Motor sofort nach Betätigen des Schalters „Rauchzeichen“ von sich gab. Grund dafür waren die stark abgenutzten Motorkohlen des verbauten Kompaktmotors, die im Betrieb zu glühen begannen. Leider können diese nicht einzeln getauscht werden und es ist ein komplett neuer Motor fällig. Der Gast will versuchen, einen Ersatzmotor zu bekommen."
anstiftung_4234,anstiftung,DEU,1,Battery is not the main problem,Hair & beauty item,Grundig,Repairable,????,2019-11-07,de,"Da eine Grundig Schallzahnbürste keinerlei Regung zeigte, ging ihre Besitzerin zunächst von einem defekten Akku aus. Beim Nachmessen der Akkuspannung sowie im testweisen Ladebetrieb war mit diesem aber alles offenbar in Ordnung. Wir nahmen deshalb die Elektronik zur Motoransteuerung mit unserem Oszilloskop genauer unter die Lupe und entdeckten dabei ein paar kaputte SMD-Schalttransistoren. Bevor es hier weitergeht, muss nun erst einmal recherchiert werden, um was für Typen es sich genau handelt und woher geeigneter Ersatz beschaffbar ist."
anstiftung_4438,anstiftung,DEU,1,Battery is not the main problem,Laptop,Unknown,Repairable,2005,2020-01-15,de,"Der 15 Jahre alte Laptop zeigte, nach dem der Gast ein neues Betriebssystem installiert hatte, ein seltsames Stehenbleiben beim Laden des Betriebssystems. Diese Zustände konnten mit einem kurzen Tippen auf die Powertaste immer übersprungen werden und es ging dann weiter mit dem Bootprozess. Im Betrieb war dann alles unauffällig. Wir untersuchten die Speicher mit einem Speichertestprogramm und die Festplattengesundheit. Die Festplatte hatte bereits etliche defekte Sektoren und wurde vom Testprogramm als „bedenklich“ eingestuft. Der Gast entschied sich für den Einbau einer neuen SSD im Tausch gegen die alte 80 GB HD. Beim nächsten Besuch werden wir sehen, was diese Aktion gebracht hat."
fixitclinic_584,The Restart Project,USA,1,Battery is not the main problem,Handheld entertainment device,Sharper Image,Repairable,????,2019-11-29,en,"A talking photo album - https://dementia.livebetterwith.com/products/talking-photo-album-memories-brought-to-life?variant=29399394025547&currency=USD&sfdr_ptcid=31654_4_498792062&sfdr_hash=034e8e7c519df9f9d3dc07afe1905cd0&gclid=Cj0KCQiAoIPvBRDgARIsAHsCw0_ ~ It won't play the recorded ""captions"" anymore.  I've tried replacing the battery.  I don't want to reset it if I don't have to, because I'll have to re-record all the captions again if I do."
rcint_10396,Repair Café International,NLD,1,Battery is not the main problem,Watch/clock,WMF,Repairable,2000,2018-10-13,nl,loopt niet meer wel goede batterij
rcint_14259,Repair Café International,NLD,1,Battery is not the main problem,Portable radio,Philips,Repairable,????,2019-02-02,nl,"weerstand kapot tussen de condensator, onbekende accu"
rcint_15300,Repair Café International,NLD,1,Battery is not the main problem,Headphones,Sennheiser,Repairable,2011,2019-03-02,nl,na batterij vervanging stopte met werken
rcint_19703,Repair Café International,NLD,1,Battery is not the main problem,Portable radio,Logitech,Repairable,2016,2019-07-06,nl,laadt niet op ook niet met nieuwe batterij
rcint_20029,Repair Café International,NLD,1,Battery is not the main problem,Watch/clock,Unknown,Repairable,????,2019-07-13,nl,Zowel opwind als batterijdeel defect
rcint_22271,Repair Café International,NLD,1,Battery is not the main problem,Headphones,Marmitek,Repairable,2013,2019-09-28,nl,Speelt slechts korte tijd. Accu reeds vervangen
rcint_23187,Repair Café International,NLD,1,Battery is not the main problem,Hair & beauty item,Braun,Repairable,????,2019-10-12,nl,Aan/uitknop reageert niet meer goed. Niet repareerbaar. De andere wel mits andere accu
rcint_27587,Repair Café International,NLD,1,Battery is not the main problem,Watch/clock,Unknown,Repairable,????,2020-01-07,nl,"wekker heeft draadloos opladen voor telefoon, dat werkt niet"
rcint_9849,Repair Café International,NLD,1,Battery is not the main problem,Tablet,Sony,Repairable,????,2018-09-29,nl,wil graag open kunnen maken om batterij te vervangen
rcwales_2842,Repair Cafe Wales,GBR,1,Battery is not the main problem,Battery/charger/adapter,Unknown,Repairable,????,2019-09-01,en,phone charger clip broken
restart_10076,The Restart Project,ITA,1,Battery is not the main problem,Hair & beauty item,imetec,Repairable,2015,2018-11-08,en,It charges but it does not work
