id_ords,data_provider,country,fault_type_id,fault_type,product_category,brand,repair_status,year_of_manufacture,event_date,problem
anstiftung_1033,anstiftung,DEU,18,System board,Laptop,Samsung,Unknown,,2019-03-20,"Überhitzung, geht nicht mehr anwahrscheinlich Graphikkarte defekt"
anstiftung_1037,anstiftung,DEU,3,Configuration,Laptop,Unknown,Unknown,,2019-03-19,Betriebssystem einrichten
anstiftung_1080,anstiftung,DEU,14,Overheating,Laptop,Lenovo,Fixed,2011,2019-04-03,Stürzt immer abWärmeleitpaste erneuern
anstiftung_1098,anstiftung,DEU,17,Power/battery,Laptop,macally,Fixed,,2019-04-10,Lüftung kaputtneue Netzteil angebaut
anstiftung_1123,anstiftung,DEU,3,Configuration,Laptop,Unknown,Fixed,,2019-01-17,"Kein Zugriff auf die externe Festplatte. Die Besucherin nutzte nur eine falsche angelegte Verknüpfung, um auf die Platte zuzugreifen. Eine kurze Beratung half ihr weiter und sie war begeistert"
anstiftung_1156,anstiftung,DEU,3,Configuration,Laptop,compaq,Unknown,,2019-01-10,"Die Anzeige des Laptops blieb dunkel. Beim Anschalten war zu beobachten, dass die Lampe an der Taste „Caps-Lock“ fünf Mal blinkt. Wir recherchierten im Internet und fanden heraus, dass dieser Fehler bei der Geräteserie häufiger auftritt. Es wurde vermutet, dass es eine vergessene BIOS-Einstellung oder ein defekter Chipsatz ist. Leider nichts, was wir reparieren könnten."
anstiftung_1158,anstiftung,DEU,2,Case/chassis,Laptop,Lenovo,Fixed,,2019-01-22,"Wir hatten zuerst das Scharnier vom Klappmechanismus mit Zwei-Komponenten-Kleber versucht zu kleben, was aber dann doch nicht den nötigen Halt brachte. Sie hatte das rausgesuchte Ersatzteil besorgt und hat es mit unserer Hilfe gewechselt."
anstiftung_1174,anstiftung,DEU,3,Configuration,Laptop,HP,Fixed,,2019-01-24,"Die Besucherin beklagte, dass ihr HP „Pavillion G“ Notebook sehr langsam sei und bat daher um fachmännische Hilfe. Wir testeten verschiedene Einstellungen des Betriebssystems und optimierten diese, sodass der Rechner nun spürbar schneller startet und wieder vernünftig benutzbar ist."
anstiftung_1210,anstiftung,DEU,19,Unknown,Laptop,Unknown,Unknown,,2019-04-06,defekt
anstiftung_1272,anstiftung,DEU,19,Unknown,Laptop,Unknown,Fixed,,2018-10-20,defekt
anstiftung_1273,anstiftung,DEU,19,Unknown,Laptop,Unknown,Unknown,,2018-10-20,geht nicht an.
anstiftung_1274,anstiftung,DEU,19,Unknown,Laptop,Unknown,Repairable,,2018-10-20,defekt
anstiftung_1349,anstiftung,DEU,16,Ports/slots/connectors,Laptop,Lenovo,Fixed,2009,2019-05-07,Stecker lose
anstiftung_1450,anstiftung,DEU,19,Unknown,Laptop,HP,Unknown,,2019-02-14,"Startete nicht, Bildschirm blieb dunkel. Blinkcode der „Caps-Lock“-Taste zu sehen."
anstiftung_1458,anstiftung,DEU,17,Power/battery,Laptop,Asus,Repairable,,2019-03-14,"Akkulaufzeit war nur noch kurz, Akku verschlissen.Wir berieten zu Bezugsquellen für einen neuen Akku."
anstiftung_1476,anstiftung,DEU,12,Operating system,Laptop,Toshiba,Fixed,,2019-04-11,"Besitzerin hatte die Festplatte ausgetauscht und das System-Recovery eingespielt, dann startete das Gerät nicht mehr richtig. Recovery-CD defekt.09.05.19Neues Betriebssystem aufgespielt und eingerichtet."
anstiftung_1533,anstiftung,DEU,16,Ports/slots/connectors,Laptop,Lenovo,Fixed,,2019-05-25,USB-Buchsen ohne Spannung
anstiftung_1546,anstiftung,DEU,14,Overheating,Laptop,Asus,Fixed,,2018-10-11,läuft laut ist und langsam.Reinigung des Lüfters und Kühlers
anstiftung_1639,anstiftung,DEU,10,Internal storage,Laptop,Acer,Unknown,,2019-03-07,"Startschwierigkeiten zeigte ein Acer „TravelMate 290 Series (CL51)“ Notebook, was, wie sich herausstellte, wohl an einem Festplattenschaden lag. Die Probleme bei Zugriff auf die HDD konnten heute aus Mangel an Diagnosetools (Linux Live-CD) und, da unser Helfer mit dem passenden Festplattenadapter diesmal nicht zugegen war, leider nicht eingehender untersucht werden. Wir baten den Gast daher, für eine weitere Überprüfung und Datenrettung beim nächsten Termin mit einer neuen Festplatte wiederzukommen."
