id_ords,data_provider,country,fault_type_id,fault_type,product_category,brand,repair_status,year_of_manufacture,event_date,problem
anstiftung_1530,anstiftung,DEU,18,System board,Desktop computer,Unknown,Unknown,,2019-05-25,Bauelement auf Platine
anstiftung_1762,anstiftung,DEU,18,System board,Desktop computer,HP,Repairable,2004,2019-05-25,Rechner läuft nicht mehr an. Power-LED pulsiert nur schwach.Ursache: Elkos auf dem Mainboard sind ausgelaufen.
anstiftung_1875,anstiftung,DEU,18,System board,Desktop computer,Commodore,Repairable,,2018-11-15,"Die Ersatzteile für den Amiga 600 waren besorgt. Insgesamt wurden 15 SMD-Elkos und vier Becher-Elkos auf der Hauptplatine gewechselt.Einen Test konnte er dann erst zu Hause durchführen. Leider gibt es nur einen Teilerfolg: der Computer bootet immer noch nicht, es wird aber jetzt immerhin ein Videosignal ausgegeben. Er will sich im Kollegenkreis noch einmal umhören, ob da noch jemand eine Idee hat."
anstiftung_1902,anstiftung,DEU,18,System board,Desktop computer,Commodore,Repairable,,2018-11-01,"Der Heimcomputer ließ sich partout nicht mehr einschalten. Wir diagnostizierten zahlreiche ausgetrocknete Elektrolytkondensatoren, für die der Gast nun Ersatz besorgt, bevor es dann beim nächsten Mal an den Austausch gehen kann."
anstiftung_2069,anstiftung,DEU,17,Power/battery,Desktop computer,Unknown,Fixed,,2016-04-23,"funktionierte nicht mehr und roch sehr streng, wenn man versuchte, ihn zu starten. Wir stellten ein defektes Netzteil fest und konnten im Elektroschrottcontainer ein funktionierendes finden und einbauen. Der Stecker musste noch etwas angepasst werden, weil das Netzteil deutlich neuer war als der Rechner, aber das klappte."
anstiftung_217,anstiftung,DEU,2,Case/chassis,Desktop computer,Medion,Fixed,,2018-09-22,Powerschalter defekt
anstiftung_22,anstiftung,DEU,19,Unknown,Desktop computer,Unknown,Fixed,,2017-03-25,???
anstiftung_2216,anstiftung,DEU,10,Internal storage,Desktop computer,Commodore,Fixed,,2017-11-02,"Funktionierte nicht mehr zuverlässig und zeigte nur noch Fehlermeldungen an.Der angezeigte Fehlercode führte zu einem defekten RAM-Speicherbaustein, der schließlich ausgelötet und gegen einen neuen getauscht wurde. Des Weiteren war es auf der Platine stellenweise zu einer Ablösung der Kupferschicht gekommen, weshalb auch einige delaminierte Leiterzüge ausgebessert werden mussten."
anstiftung_2243,anstiftung,DEU,7,Integrated screen,Desktop computer,Unknown,Fixed,,2017-09-26,"Er verweigerte angeblich seinen Dienst. Der Nutzer berichtete zudem von Problemen mit dem Monitor, dessen Bildschirm - wohl aufgrund einer kaputten Hintergrundbeleuchtung - dunkel blieb. Er hatte daher gleich einen neuen im Gepäck, mit dem der Rechner jedoch tadellos funktionierte, sodass wir vor Ort lediglich einige Tests durchführten und Leistungsoptimierungen vornahmen, um den PC etwas flotter zu machen."
anstiftung_2280,anstiftung,DEU,8,Internal damage,Desktop computer,Zotac,Fixed,,2017-08-22,Es war der CPU-Lüfter defekt. Ein neuer wurde bereits mitgebracht. Allerdings waren die Anschlussleitungen des neuen Lüfters ein wenig zu kurz. Der Lötkolben war noch warm und die Leitung des neuen Lüfters wurde mit der alten Anschlussleitung verlängert.
