id,data_provider,country,fault_type,product_category,brand,model,repair_status,age,event_date,problem
mobifix-1,anstiftung,DEU,External damage,Mobile,,Handy,Fixed,,2012-10-17,Die Tastatur war defekt. Wir haben aus Zweien eines funktionierendes gemacht.
mobifix-2,The Restart Project,GBR,Microphone,Mobile,Apple,,Repairable,,2013-06-19,Mobile - Mic problem - Tried cardboard hack and failed
mobifix-3,The Restart Project,GBR,Other,Mobile,Samsung,,Fixed,,2013-07-06,Mobile - Configuration problem -
mobifix-4,The Restart Project,GBR,Unknown,Mobile,Samsung,,End of life,,2013-07-06,Mobile - -
mobifix-5,The Restart Project,GBR,Speaker/amplifier,Mobile,Motorola,,End of life,,2013-07-31,Mobile - No sound output -
mobifix-6,The Restart Project,GBR,Unknown,Mobile,,,Repairable,,2013-07-31,Mobile - Won't boot -
mobifix-7,The Restart Project,GBR,Speaker/amplifier,Mobile,Apple,,Repairable,,2013-07-31,Mobile - No sound output -
mobifix-8,The Restart Project,GBR,Power/battery,Mobile,Samsung,,Repairable,,2013-07-31,Mobile - Gets no power -
mobifix-9,The Restart Project,GBR,Unknown,Mobile,Sony,,Repairable,,2013-07-31,Mobile - Vibrating -
mobifix-10,The Restart Project,GBR,Stuck booting,Mobile,Samsung,,Fixed,,2013-08-10,Mobile - Won't boot -
mobifix-11,The Restart Project,GBR,Headphone jack,Mobile,,,Fixed,,2013-08-10,Headphones - Coming apart - Sugru
mobifix-12,The Restart Project,GBR,Screen,Mobile,ZDE,,Repairable,,2013-08-10,Mobile - Screen issue - Sourced screen and guide
mobifix-13,The Restart Project,GBR,Screen,Mobile,Sony,,Fixed,,2013-08-10,Mobile - Screen issue -
mobifix-14,The Restart Project,GBR,On/Off button,Mobile,Apple,,End of life,,2013-08-18,Mobile - Switch problem -
mobifix-15,The Restart Project,GBR,Other,Mobile,Samsung,,End of life,,2013-08-18,Mobile - Bricked -
mobifix-16,The Restart Project,GBR,Power/battery,Mobile,Apple,,Repairable,,2013-09-14,Mobile - No power -
mobifix-17,The Restart Project,GBR,Power/battery,Mobile,Samsung,,End of life,,2013-09-26,Mobile - Battery issue -
mobifix-18,The Restart Project,GBR,Power/battery,Mobile,Samsung,,End of life,,2013-09-26,Mobile - No power -
mobifix-19,The Restart Project,GBR,Software update,Mobile,Samsung,,End of life,,2013-10-19,Mobile - Bricked -
mobifix-20,The Restart Project,GBR,Screen,Mobile,Apple,,Repairable,,2013-10-19,Mobile - Screen issue - Not enough time
mobifix-21,The Restart Project,GBR,Sim card slot,Mobile,Apple,,End of life,,2013-10-19,Mobile - No SIM card recognition -
mobifix-22,The Restart Project,GBR,Stuck booting,Mobile,Samsung,,End of life,,2013-10-19,Mobile - Won't boot - Not enough time
mobifix-23,The Restart Project,GBR,Software update,Mobile,HTC,,Fixed,,2013-11-10,Mobile - Firmware issue - Improved
mobifix-24,The Restart Project,GBR,Software update,Mobile,Samsung,,Fixed,,2013-11-10,Mobile - Firmware issue -
mobifix-25,The Restart Project,GBR,Software update,Mobile,,,Repairable,,2013-11-16,Problem with Android system recovery
mobifix-26,The Restart Project,GBR,Screen,Mobile,Apple,,Repairable,,2013-12-07,Mobile - Screen issue - needs a new part
mobifix-27,The Restart Project,GBR,Headphone jack,Mobile,,,Fixed,,2013-12-07,Headphones - Broken jack -
mobifix-28,The Restart Project,TUN,Unknown,Mobile,,,Fixed,,2013-12-14,Home Telephone
mobifix-29,The Restart Project,GBR,Headphone jack,Mobile,,,Fixed,,2013-12-15,Headphones - No sounds - Sugru
mobifix-30,The Restart Project,GBR,Screen,Mobile,Apple,,Repairable,,2013-12-15,Mobile - screen issue - Spare part needed
mobifix-31,The Restart Project,GBR,Other,Mobile,Google,,End of life,,2014-01-25,Mobile - Not booting - Needs new motherboard
mobifix-32,The Restart Project,GBR,USB/charging port,Mobile,,,Fixed,,2014-01-29,Mobile - Power jack -
mobifix-33,The Restart Project,GBR,Screen,Mobile,Samsung,,Repairable,,2014-02-01,"Smashed screen, doesn't switch on"
mobifix-34,The Restart Project,GBR,Storage problem,Mobile,,,Repairable,,2014-02-01,Memory problem
mobifix-35,The Restart Project,GBR,Other,Mobile,,,Repairable,,2014-02-01,"Got wet, not working"
mobifix-36,The Restart Project,GBR,Software update,Mobile,Samsung,Galaxy Ace,Repairable,,2014-02-01,"Switches on, but can't launch programmes"
mobifix-37,The Restart Project,GBR,Power/battery,Mobile,Apple,iPhone,Repairable,,2014-02-01,Turn off after a few minutes
