id_ords,data_provider,country,fault_type_id,fault_type,product_category,brand,repair_status,year_of_manufacture,event_date,language,problem
anstiftung_5528,anstiftung,DEU,2,Configuration,Printer/scanner,Anet,Fixed,2015,2020-08-25,de,"Er förderte das Material nicht richtig nach und druckte nicht gut. Wir schauten uns die Filamentzufuhr an und reinigten den Vortrieb. Der Besitzer hatte noch nicht viel Erfahrung mit solchen Geräte und so erklärten wir ihm noch ein paar Basics. Nachdem die Temperatur des Heizelements entsprechend des verwendeten Materials eingestellt war, druckte das Gerät wieder gut."
restart_181,The Restart Project,GBR,2,Configuration,Printer/scanner,Canon,Repairable,????,2013-10-19,en,Printer - Adjustment needed - Needs professional adjustment
restart_232,The Restart Project,GBR,2,Configuration,Printer/scanner,Unknown,Repairable,????,2013-11-16,en,Problem with adjustment of printer heads
restart_6459,The Restart Project,GBR,2,Configuration,Printer/scanner,HP,Fixed,2013,2017-11-04,en,Out of alignment
rcint_15617,Repair Café International,NLD,3,Control buttons,Printer/scanner,Unknown,End of life,????,2019-03-09,nl,knop weigert
rcint_21563,Repair Café International,NLD,3,Control buttons,Printer/scanner,HP,End of life,2006,2019-09-14,nl,aan en uitknop fuctioneert niet meer
rcint_27415,Repair Café International,NLD,3,Control buttons,Printer/scanner,Lexmark,End of life,2014,2020-01-04,nl,"printerknop zwart, doet het niet"
rcint_4523,Repair Café International,NLD,3,Control buttons,Printer/scanner,Brother,End of life,????,2018-01-20,nl,Defecte schakelaar
restart_4411,The Restart Project,GBR,3,Control buttons,Printer/scanner,Unknown,Fixed,????,2017-02-27,en,"Printer - No lights, no power, nothing - doctored switch and was repaired"
rcint_12619,Repair Café International,NLD,4,Display panel,Printer/scanner,Samsung,End of life,????,2018-12-20,nl,donatie onderdelen
rcint_31276,Repair Café International,NLD,4,Display panel,Printer/scanner,Canon,End of life,2017,2020-03-07,en,display defect
rcint_31572,Repair Café International,FRA,4,Display panel,Printer/scanner,HP,End of life,????,2020-06-06,fr,Souci fonction démarrage afficheur de commande
restart_3724,The Restart Project,GBR,4,Display panel,Printer/scanner,Dell,End of life,????,2016-11-19,en,LED screen not working.
rcint_5324,Repair Café International,NLD,5,External damage,Printer/scanner,Canon,Repairable,2016,2018-02-24,nl,gebroken lade
rcwales_1737,Repair Cafe Wales,GBR,5,External damage,Printer/scanner,Unknown,Fixed,????,2019-10-01,en,printer back won't close properly
restart_17571,The Restart Project,GBR,5,External damage,Printer/scanner,Unknown,Fixed,2013,2020-07-01,en,Lid broken
anstiftung_3956,anstiftung,DEU,6,Imaging unit/drum,Printer/scanner,Brother,Fixed,????,2019-10-19,de,Corondraht verschmutzt
rcint_14916,Repair Café International,NLD,6,Imaging unit/drum,Printer/scanner,Canon,Fixed,2000,2019-02-23,en,Storing
rcint_1839,Repair Café International,NLD,6,Imaging unit/drum,Printer/scanner,Samsung,End of life,2010,2017-08-24,nl,drum beschadigd
restart_10982,The Restart Project,GBR,6,Imaging unit/drum,Printer/scanner,HP,Fixed,????,2019-01-19,en,Only scans quarter of page - advice given
anstiftung_1593,anstiftung,DEU,7,Ink cartridge,Printer/scanner,HP,Unknown,????,2018-05-09,de,"Eingesetzte Tintenpatronen wurden nicht erkannt.Keine Originalpatronen, vermutlich das Problem."
anstiftung_1735,anstiftung,DEU,7,Ink cartridge,Printer/scanner,Epson,Fixed,????,2018-01-11,de,Fortsetzung vom letzten Mal:wir konnten die zwischenzeitlich besorgte Tintenpatrone einsetzen.
anstiftung_1743,anstiftung,DEU,7,Ink cartridge,Printer/scanner,HP,Unknown,????,2017-12-14,de,"Beim Einlegen der Ersatzpatronen hatte die Besitzerin etwas falsch gemacht und nun zeigte das Gerät einen Fehlercode an. Dieser wies auf ein defektes Tintensystem hin. Wir versuchten einige Tipps aus dem Internet, hatten aber keinen Erfolg. Da ist ein neuer Drucker nötig."
anstiftung_1746,anstiftung,DEU,7,Ink cartridge,Printer/scanner,Epson,Repairable,????,2017-12-14,de,"Druckt nicht mehr, Patrone leer."
anstiftung_1832,anstiftung,DEU,7,Ink cartridge,Printer/scanner,Unknown,Fixed,????,2017-09-14,de,"Hatte ein schlechtes Druckbild, eine Farbe fehlte völlig. Die Besitzerin hatte das Gerät schon zweimal in einer Werkstatt und die gab dann auf. Angeblich wurden dort neue Patronen eingesetzt, doch wir stellten sofort eine leere gelbe Patrone fest - somit war klar, warum die Farbe fehlte. Außerdem waren keine Originalpatronen eingesetzt, was auch zu Problemen beim Druckbild führen kann. Wir reinigten den Druckkopf und rieten der Besitzerin, es mit einem kompletten Satz neuer Originalpatronen nochmal zu versuchen."
anstiftung_2282,anstiftung,DEU,7,Ink cartridge,Printer/scanner,Brother,Fixed,????,2017-08-17,de,"kleckste und zog Streifen beim Drucken. Wir haben diesbezüglich im Internet gesucht und sind fündig geworden. Über das Servicemenü konnten wir die Reinigung und danach auch die Ansaugung der Tinte aktivieren. Das Druckbild wurde deutlich besser. Wir gaben dem Besitzer noch den Tipp, die Patronen in Zukunft rechtzeitig zu wechseln, um einen Abriss der Tinte zu vermeiden."
anstiftung_2941,anstiftung,DEU,7,Ink cartridge,Printer/scanner,Brother,Repairable,????,2018-04-26,de,"Ein Brother „MFC J470DW“ Multifunktionsdrucker erkannte die gelbe Farbpatrone nicht mehr. Sein Besitzer äußerte den Verdacht, dass in der Aufnahme eine Feder zur Kontaktierung des Patronenchips abgebrochen sein könnte. Nach Zerlegung des Gerätes und näherer Inaugenscheinnahme konnten wir dies zwar bestätigen, fanden im Gehäuse jedoch keine Spur des fehlenden Kontaktes. Das defekte Teil wurde ausgebaut und der Gast beraten, wie er hierfür passenden Ersatz bekommen kann. Sollte das nicht klappen, müssen wir sonst beim nächsten Mal eine geeignete Lösung mit Teilen aus der Bastelkiste improvisieren."
anstiftung_3522,anstiftung,DEU,7,Ink cartridge,Printer/scanner,Minolta,Unknown,2013,2019-08-17,de,Streifen
anstiftung_4751,anstiftung,DEU,7,Ink cartridge,Printer/scanner,Unknown,Unknown,????,2019-11-12,de,Patrone eingetrocknet
anstiftung_5030,anstiftung,DEU,7,Ink cartridge,Printer/scanner,HP,Fixed,2017,2020-02-20,de,"An dem Drucker wurde kein schwarz mehr gedruckt. Bei der Überprüfung funktionierte es auf einmal wieder, wenn auch schlecht. Der Gast wird die kürzlich erworbene Patrone reklamieren."
anstiftung_5378,anstiftung,DEU,7,Ink cartridge,Printer/scanner,HP,Repairable,2010,2020-06-04,de,"Patronen werden nicht erkannt.Patronenkontakte gereinigt und neu eingesetzt. Bei schwarzer Patrone wird Fehler gemeldet.Da noch in der Garantie, Empfehlung Einsendung an den Hersteller."
anstiftung_5434,anstiftung,DEU,7,Ink cartridge,Printer/scanner,Unknown,Unknown,????,2020-07-05,de,fehlercode beim drucken. behältnis von druckerpatronen klemmt.
anstiftung_5554,anstiftung,DEU,7,Ink cartridge,Printer/scanner,Samsung,Fixed,2017,2020-09-03,de,Erkennt Patrone nicht. Chip am Toner defekt. Gast kauft neuen Toner
fixitclinic_651,Fixit Clinic,USA,7,Ink cartridge,Printer/scanner,HP,Repairable,2013,2020-04-14,en,Printere ~ Black ink is not printing at all. 
rcint_10170,Repair Café International,NLD,7,Ink cartridge,Printer/scanner,Brother,End of life,2009,2018-10-06,nl,Zwarte cartridge werkt niet meer
rcint_10224,Repair Café International,NLD,7,Ink cartridge,Printer/scanner,HP,End of life,2012,2018-10-06,nl,wagen is vastgelopen bij het wisselen van de cartridge.
rcint_10261,Repair Café International,FRA,7,Ink cartridge,Printer/scanner,Epson,End of life,????,2018-10-06,fr,Tampon d'encre satur?© / Je n'arrive pas ?† trouver comment ouvrir pour le changer
