id_ords,data_provider,country,fault_type_id,fault_type,product_category,brand,repair_status,year_of_manufacture,event_date,language,problem
fixitclinic_16,Fixit Clinic,USA,23,Access issue,Tablet,Apple,Fixed,2014,2018-01-27,en,ipad  ~ Not accepting password
rcint_22757,Repair Café International,NLD,23,Access issue,Tablet,Apple,Fixed,2014,2019-10-05,nl,komt er niet meer in
rcint_23982,Repair Café International,GBR,23,Access issue,Tablet,Unknown,Fixed,????,2019-10-27,en,Forgotten password
rcwales_1293,Repair Cafe Wales,GBR,23,Access issue,Tablet,amazon fire tablet,End of life,????,2019-05-01,en,amazon fire tablet unable to log in
rcwales_2468,Repair Cafe Wales,GBR,23,Access issue,Tablet,Binatone,Repairable,????,2019-12-01,en,sat nav locked
rcwales_3319,Repair Cafe Wales,GBR,23,Access issue,Tablet,Unknown,End of life,????,2020-02-01,en,kindle screen locked
rcwales_649,Repair Cafe Wales,GBR,23,Access issue,Tablet,Unknown,Fixed,????,2018-01-01,en,iPad Apple ID Blocked
rcwales_650,Repair Cafe Wales,GBR,23,Access issue,Tablet,Unknown,Fixed,????,2018-01-01,en,iPad Apple ID Blocked
restart_10614,The Restart Project,GBR,23,Access issue,Tablet,Samsung,Repairable,2015,2018-12-01,en,blocked password + not charging
restart_11699,The Restart Project,CAN,23,Access issue,Tablet,Unknown,Repairable,????,2019-02-21,en,Blocked/password problem
restart_13143,The Restart Project,CAN,23,Access issue,Tablet,Unknown,Fixed,????,2019-05-14,en,Locked outside device : forgotten code
restart_13144,The Restart Project,CAN,23,Access issue,Tablet,Unknown,Repairable,????,2019-05-14,en,Locked outside device : forgotten code
restart_13626,The Restart Project,GBR,23,Access issue,Tablet,linx,Repairable,2014,2019-06-03,en,"Lost password, wouldn't factory reset"
restart_14646,The Restart Project,CAN,23,Access issue,Tablet,Unknown,Repairable,????,2019-09-12,en,Blocked access
restart_14924,The Restart Project,NOR,23,Access issue,Tablet,Apple,Repairable,2016,2019-09-28,en,Forgotten security code
restart_16054,The Restart Project,BEL,23,Access issue,Tablet,Apple,Repairable,????,2019-11-29,en,Password not accepted
restart_16832,The Restart Project,GBR,23,Access issue,Tablet,Apple,Repairable,2014,2020-02-01,en,iPad got locked during an update.  Trying to recover old Apple ID.:solution: Has been locked out of account so will contact Apple Support directly
restart_1704,The Restart Project,GBR,23,Access issue,Tablet,Amazon,Fixed,????,2015-09-26,en,"Locked out of Amazon, showed owner a workaround"
restart_2881,The Restart Project,GBR,23,Access issue,Tablet,Unknown,Repairable,????,2016-06-11,en,"Android, Locked"
restart_5493,The Restart Project,GBR,23,Access issue,Tablet,EE,Repairable,????,2017-06-24,en,"Locked, need unlock PIN. Half fixed, also needs new screen."
restart_6670,The Restart Project,GBR,23,Access issue,Tablet,IROPRO,Fixed,????,2017-11-25,en,password forgotten. factory reset - all okay
restart_7053,The Restart Project,GBR,23,Access issue,Tablet,HP,Fixed,????,2018-01-27,en,issue with password. connected to wifi in order to get access to factory settings to modify password and get into device
rcint_14446,Repair Café International,NLD,4,Camera,Tablet,Sharp,End of life,2015,2019-02-08,en,Videoingang defect
restart_14847,The Restart Project,ITA,4,Camera,Tablet,Unknown,Fixed,????,2019-09-28,en,It doesn't take any photo
restart_915,The Restart Project,GBR,4,Camera,Tablet,Apple,Fixed,????,2014-09-27,en,Tablet - Screen issue - Frontfacing camera broke
rcwales_3251,Repair Cafe Wales,GBR,7,Charger,Tablet,Samsung,Fixed,????,2019-04-01,en,Tablet Charger replacement
restart_1139,The Restart Project,GBR,7,Charger,Tablet,Tesco,Repairable,????,2015-01-24,en,Not charging. Needs new charger.
restart_12232,The Restart Project,BEL,7,Charger,Tablet,Samsung,Fixed,????,2019-03-23,en,does not start upnew adapter used
restart_1267,The Restart Project,GBR,7,Charger,Tablet,Alcatel,Repairable,????,2015-03-21,en,Not turning on. Needs new charger.
restart_14271,The Restart Project,GBR,7,Charger,Tablet,kindle,Repairable,2016,2019-07-21,en,Power supply broken
restart_2477,The Restart Project,GBR,7,Charger,Tablet,Apple,Fixed,????,2016-04-09,en,"Ipad cable, frayed"
restart_3007,The Restart Project,GBR,7,Charger,Tablet,HP,Fixed,????,2016-06-25,en,issue with the plug
restart_3871,The Restart Project,GBR,7,Charger,Tablet,Apple,Fixed,????,2016-11-24,en,No go - more powerful charger needed
restart_4509,The Restart Project,ITA,7,Charger,Tablet,Apple,Fixed,????,2017-03-11,en,"Power Cable, used white Sugru"
restart_5383,The Restart Project,GBR,7,Charger,Tablet,Samsung,Repairable,????,2017-06-17,en,child's tablet. needs right charger & lead & poss battery boost
restart_7406,The Restart Project,NOR,7,Charger,Tablet,Denver,Fixed,????,2018-03-06,en,Broken lead
restart_7889,The Restart Project,GBR,7,Charger,Tablet,amazon,Fixed,2014,2018-04-21,en,not charging. new cable needed
restart_6390,The Restart Project,GBR,18,External damage,Tablet,TomTom,Fixed,????,2017-10-28,en,"Sat Nav - wire has come out, rewired"
rcint_13067,Repair Café International,NLD,5,Headphone jack,Tablet,Apple,End of life,2018,2019-01-05,nl,Afgebroken jackplug in aansluiting
rcint_27149,Repair Café International,NLD,5,Headphone jack,Tablet,Apple,Fixed,????,2019-12-28,nl,plugje van oortjes afgebroken en vast in apparaat
restart_10977,The Restart Project,GBR,5,Headphone jack,Tablet,Unknown,End of life,????,2019-01-19,en,Jack needs soldering
restart_13152,The Restart Project,CAN,5,Headphone jack,Tablet,Unknown,Fixed,????,2019-05-14,en,Audio jack jammed
restart_1748,The Restart Project,ITA,5,Headphone jack,Tablet,Huawei,Fixed,????,2015-09-27,en,We remove a jack 3.5mm blocked inside
restart_735,The Restart Project,GBR,5,Headphone jack,Tablet,Apple,Repairable,????,2014-06-28,en,Broken headphone socket.
rcint_11955,Repair Café International,NLD,24,Help/configuration,Tablet,Unknown,Fixed,2000,2018-11-25,nl,Instellen
rcint_1473,Repair Café International,NLD,24,Help/configuration,Tablet,TomTom,Fixed,????,2017-06-17,nl,Ontbrekende kennis en ervaring
rcint_18899,Repair Café International,NLD,24,Help/configuration,Tablet,Huawei,Repairable,2017,2019-06-01,nl,Opslag vol
rcint_8565,Repair Café International,USA,24,Help/configuration,Tablet,Apple,Fixed,????,2018-07-28,en,needs reconfiguring
rcwales_2391,Repair Cafe Wales,GBR,24,Help/configuration,Tablet,Unknown,Fixed,????,2019-05-01,en,Android Tablet Cant find the bible app
rcwales_287,Repair Cafe Wales,GBR,24,Help/configuration,Tablet,Unknown,Fixed,????,2017-12-01,en,iPad Privacy and internet connection issues
rcwales_3210,Repair Cafe Wales,GBR,24,Help/configuration,Tablet,Unknown,Fixed,????,2019-10-01,en,tablet issues reaching internet
restart_10463,The Restart Project,ISL,24,Help/configuration,Tablet,Apple,Fixed,2013,2018-11-22,en,Connectivity issues
restart_12215,The Restart Project,CAN,24,Help/configuration,Tablet,Unknown,Fixed,????,2019-03-22,en,Trouble connecting to wifi
restart_12597,The Restart Project,CAN,24,Help/configuration,Tablet,Unknown,Fixed,????,2019-04-11,en,Not connecting to wifi
restart_12791,The Restart Project,CAN,24,Help/configuration,Tablet,Apple,Fixed,????,2019-04-23,en,Restauring/wiping for reuse
restart_13133,The Restart Project,CAN,24,Help/configuration,Tablet,Unknown,Fixed,????,2019-05-14,en,Device not backing up data
restart_1362,The Restart Project,GBR,24,Help/configuration,Tablet,Unknown,Fixed,????,2015-04-25,en,Tablet - Configuring antivirus -
restart_13862,The Restart Project,GBR,24,Help/configuration,Tablet,Apple,Fixed,2014,2019-06-17,en,"Storage issues, needs iCloud help - training given"
restart_14036,The Restart Project,GBR,24,Help/configuration,Tablet,Apple,Fixed,????,2019-07-01,en,Unable to download apps - New payment card registered.Problems with email scam - scam from Nigeria - deleted.
restart_14037,The Restart Project,GBR,24,Help/configuration,Tablet,Samsung,Fixed,2019,2019-07-01,en,"Help required setting up. Tablet set-up, apps installed and help given in how to use tablet and apps."
restart_14054,The Restart Project,GBR,24,Help/configuration,Tablet,Samsung,Fixed,2014,2019-07-06,en,No WiFi connection.  Needed date and time setting to be correct for TLS to work.
restart_14175,The Restart Project,GBR,24,Help/configuration,Tablet,Apple,Fixed,2017,2019-07-15,en,Calendar not syncing with second iPad in Family calendar
restart_14415,The Restart Project,CAN,24,Help/configuration,Tablet,Unknown,Fixed,????,2019-08-15,en,Configs to solve bugs
restart_14487,The Restart Project,GBR,24,Help/configuration,Tablet,Apple,Fixed,2019,2019-09-02,en,"Various issues - back up, Apps, unable to link calendar to other iPad"
restart_14488,The Restart Project,GBR,24,Help/configuration,Tablet,Apple,Fixed,2019,2019-09-02,en,"Various issues - back up, Apps, unable to link calendar to iPad listed above."
restart_14616,The Restart Project,CAN,24,Help/configuration,Tablet,Unknown,Fixed,????,2019-09-12,en,Wanted to factory reset the device
restart_1465,The Restart Project,GBR,24,Help/configuration,Tablet,Unknown,Repairable,????,2015-05-28,en,"Was actually under warranty, advice given."
restart_15780,The Restart Project,GBR,24,Help/configuration,Tablet,Samsung,Fixed,2018,2019-11-11,en,"Help required setting up gmaill account, help required creating adverts for Gumtree"
restart_15787,The Restart Project,GBR,24,Help/configuration,Tablet,Unknown,Fixed,????,2019-11-16,en,"Forgotten password, trying to clean data. - factory reset to wipe data so tablet can be passed on"
restart_16238,The Restart Project,GBR,24,Help/configuration,Tablet,iPad,Fixed,2015,2019-12-09,en,Client unable to access data on holiday.Explained to client how to find data limits and access on 3 mifi. Also how to find out of hotel has public access wifi.
restart_16241,The Restart Project,GBR,24,Help/configuration,Tablet,iPad,Fixed,2014,2019-12-09,en,Client needs help backing up data
restart_16414,The Restart Project,GBR,24,Help/configuration,Tablet,Kobo,Repairable,2017,2020-01-11,en,"not used for a while, needs resetting"
restart_1894,The Restart Project,GBR,24,Help/configuration,Tablet,Unknown,Fixed,????,2015-11-21,en,Advice needed.
restart_2040,The Restart Project,GBR,24,Help/configuration,Tablet,Kobo,Fixed,????,2015-12-15,en,eReader Deleting files - just disabled sync
restart_2200,The Restart Project,ITA,24,Help/configuration,Tablet,Unknown,Fixed,????,2016-02-06,en,reset to fabric defaults
restart_2318,The Restart Project,GBR,24,Help/configuration,Tablet,Apple,Fixed,????,2016-03-04,en,email problem - software configuration issue
restart_2898,The Restart Project,GBR,24,Help/configuration,Tablet,Apple,Fixed,????,2016-06-11,en,Got advice.
restart_3011,The Restart Project,GBR,24,Help/configuration,Tablet,Unknown,Repairable,????,2016-06-25,en,advice given
restart_3977,The Restart Project,GBR,24,Help/configuration,Tablet,Samsung,Fixed,????,2016-12-03,en,Advice on connection
restart_4346,The Restart Project,GBR,24,Help/configuration,Tablet,Samsung,Fixed,????,2017-02-11,en,Advice needed on app for printer - advice on Canon app given
