id_ords,data_provider,country,fault_type_id,fault_type,product_category,brand,repair_status,year_of_manufacture,product_age,event_date,repair_barrier_if_end_of_life,problem
anstiftung_1007,anstiftung,DEU,4,Button/switch,Vacuum,Unknown,Fixed,,,2019-01-22,,Befestigung Schalter verbogen
anstiftung_1021,anstiftung,DEU,11,Internal damage,Vacuum,Unknown,Fixed,,,2018-11-13,,Kontakte mussten korrodiertund gesäubert werden
anstiftung_1047,anstiftung,DEU,13,Motor,Vacuum,AEG,Fixed,2009,10.0,2019-03-27,,Läuft nicht Drehzahlelektronik defekt
anstiftung_1072,anstiftung,DEU,15,Power/battery,Vacuum,Quigg,End of life,,,2019-04-02,Spare parts not available,Akkublock defekt
anstiftung_113,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Fixed,2013,5.0,2018-07-08,,Einschalter funktioniert nicht. Diagnose: Wackelkontakt im Stecker
anstiftung_1179,anstiftung,DEU,11,Internal damage,Vacuum,KHG,Fixed,,,2019-01-24,,"Ein Beutelstaubsauger der KHG GmbH zeigte nur minimale Saugleistung und ließ auch keine andere Einstellung zu. Nach längerer Suche fand sich eine Unterbrechung in einer Leiterbahn, die mit einem Stück Draht gebrückt werden konnte."
anstiftung_120,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Fixed,,,2018-07-08,,"Kabeleinzug defekt Reparateur. Knopf aufgewickelt, Aufzug gängig gemacht"
anstiftung_1232,anstiftung,DEU,25,Poor data,Vacuum,Kirby,Fixed,2012,7.0,2019-05-04,,funktioniert nicht.
anstiftung_1238,anstiftung,DEU,8,External damage,Vacuum,AEG,Fixed,,,2019-05-04,,Arretierung defekt.
anstiftung_1244,anstiftung,DEU,14,Overheating,Vacuum,Unknown,Unknown,,,2018-10-20,,kaputt. Durchgebrannt.
anstiftung_1248,anstiftung,DEU,25,Poor data,Vacuum,Unknown,Fixed,,,2018-10-20,,defekt
anstiftung_131,anstiftung,DEU,15,Power/battery,Vacuum,dyson,Unknown,2013,5.0,2018-06-30,,warscheinlich Netzteil defekt
anstiftung_1327,anstiftung,DEU,2,Blockage,Vacuum,Vorwerk,Fixed,1994,25.0,2019-04-24,,verstopft gereinigt
anstiftung_1341,anstiftung,DEU,5,Cable/cord,Vacuum,Philips,Repairable,2005,14.0,2019-04-30,,Kabel kaputt Noch in Arbeit
anstiftung_1353,anstiftung,DEU,25,Poor data,Vacuum,Philips,Fixed,,,2019-05-08,,Leitungsbruch
anstiftung_1403,anstiftung,DEU,15,Power/battery,Vacuum,Hoover,Repairable,,,2019-05-14,,Ladeelektronik kaputt
anstiftung_142,anstiftung,DEU,26,Other,Vacuum,Unknown,End of life,,,2018-07-17,,Staubsaugerroboter läuft im Kreis
anstiftung_1433,anstiftung,DEU,25,Poor data,Vacuum,Miele,Repairable,2016,3.0,2019-05-18,,geht nicht mehr an
anstiftung_1453,anstiftung,DEU,11,Internal damage,Vacuum,Omega,Fixed,,,2019-03-14,,Beim Einstecken des Netzsteckers flog die Sicherung heraus.
anstiftung_1460,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,End of life,,,2019-03-14,,"Funktionierte nicht mehr zuverlässig, Kabelbruch Gehäuse ließ sich aber nicht mehr sicher zusammen bauen, daher Schrott."
anstiftung_1477,anstiftung,DEU,2,Blockage,Vacuum,Vorwerk,Repairable,1994,25.0,2019-04-11,,"Lief schwergängig, roch ""brenzlig"". Filter im Inneren zugesetzt und der Motor lief schwergängig."
anstiftung_1490,anstiftung,DEU,13,Motor,Vacuum,Vorwerk,Fixed,1994,25.0,2019-05-09,,Fortsetzung vom letzten Mal. Mitgebrachten Motor und Filter eingebaut.
anstiftung_1525,anstiftung,DEU,2,Blockage,Vacuum,Unknown,Fixed,,,2019-05-25,,saugt nicht
anstiftung_1561,anstiftung,DEU,15,Power/battery,Vacuum,Silvercrest,Repairable,,,2018-09-13,,Funktionierte nicht mehr.  Akkus waren verschlissen.
anstiftung_1573,anstiftung,DEU,13,Motor,Vacuum,Unknown,Fixed,,,2018-07-12,,Drehzahl lässt sich nicht mehr einstellen.  Drehknopf nahm die Welle nicht mehr mit. Das haben wir geklebt.
anstiftung_1603,anstiftung,DEU,5,Cable/cord,Vacuum,Siemens,Fixed,,,2018-04-12,,funktionierte nicht mehr.  Kabelbruch im Aufwickler.
anstiftung_161,anstiftung,DEU,25,Poor data,Vacuum,Vorwerk,Fixed,,,2018-09-18,,kaum Funktion
anstiftung_162,anstiftung,DEU,15,Power/battery,Vacuum,AccuLux,End of life,,,2018-09-18,,sehr kurze Laufzeit
anstiftung_1665,anstiftung,DEU,1,Accessories/attachments,Vacuum,Vorwerk,Fixed,,,2019-03-28,,"Ein Gast des RepairCafés in Tharandt, das am Vortag stattgefunden hatte, kam mit seinem dort reparierten Vorwerk „Kobold VK 135-1“ Bodenstaubsauger zu uns. Scheinbar hatte er beim Zusammenbau eine Feder im Rastmechanismus der Teleskopstange nicht richtig eingesetzt, denn sie ließ sich komplett herausziehen. Mit der lockeren Stange war natürlich kein Saugen möglich, also bauten wir den Federmechanismus wieder korrekt zusammen. Nun funktioniert die Einrastmechanik wie gewünscht."
anstiftung_1685,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Fixed,,,2018-02-08,,"Funktionierte nicht mehr, Kabel war aus dem Gerät herausgerissen.  Kabel neu angeschlossen und befestigt."
anstiftung_1687,anstiftung,DEU,16,Wheels/rollers,Vacuum,Unknown,Repairable,,,2018-02-08,,"Lüfterrad defekt, Gast hatte Ersatz dabei.  Das Rad passte nicht, Gast schaut nochmal nach."
anstiftung_1712,anstiftung,DEU,8,External damage,Vacuum,Vorwerk,Fixed,,,2019-04-04,,Nach einem Zusammenbau klemmte die Rastfunktion für den Saugaufsatz. Nach einer erneuten Zerlegung und dem korrekten Zusammenbau ist jetzt alles an seinem Platz und gängig wie zuvor.
